scope,case,case_name,expected_signal,expected_direction,n,polynomial_degree,nuisance_model,repetition,seed,raw_r,raw_p,partial_r,partial_p,crossfit_residual_r,crossfit_residual_p,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_residual_reject,positive_delta_mse,delta_ci_positive,joint_increment_decision,sign_correct
task1,0,real_structure_null,False,0,96,6,polynomial_ridge_interactions,0,26260734,0.08672002170374389,0.4008337568140468,-0.12843739012657146,0.22764946790511378,-0.08602821486706456,0.45,-0.002634116835292369,-0.004081340296303431,-0.0013784394035912684,-0.2984721065516199,False,False,False,False,True
task1,1,real_design_proxy,False,0,96,6,polynomial_ridge_interactions,0,26260734,0.9193570265870863,7.359704147488533e-40,0.24267999568777648,0.021186234650236176,0.3315382528486164,0.005,0.0009090558473928423,-0.003943303469973603,0.0052813279831807605,0.037954823531848855,True,True,False,False,True
task1,2,injected_increment,True,1,96,6,polynomial_ridge_interactions,0,26260734,0.567200217037439,1.689478665983624e-09,0.7597734438354807,3.906038732532764e-18,0.8421730873575691,0.005,0.04657595906388377,0.02982999220701098,0.06535139402127756,0.6411892143230631,True,True,True,True,True
task1,3,task_specialist,True,1,96,6,polynomial_ridge_interactions,0,26260734,0.8649077590884426,6.859072333012391e-30,0.9405274091311593,4.930356343660451e-43,0.9467173087357568,0.005,0.1007735954363247,0.07658094814809586,0.1301254635907566,0.9010888191447015,True,True,True,True,True
task2,0,real_structure_null,False,0,54,6,polynomial_ridge_interactions,0,27260737,0.12818753573470554,0.3556114783532144,-0.05334642662729751,0.7129198341862417,-0.19977129788450537,0.16,-0.0037395407282979293,-0.005728033702895114,-0.001825214137413998,-0.5392077134511745,False,False,False,False,True
task2,1,real_design_proxy,False,0,54,6,polynomial_ridge_interactions,0,27260737,0.8870973889841813,4.2922316378206064e-19,0.1969627134258604,0.17038018927208426,0.25054316752429956,0.055,-0.0024613121748991995,-0.010660805217433593,0.004366618075548312,-0.09905078810327038,False,False,False,False,True
task2,2,injected_increment,True,1,54,6,polynomial_ridge_interactions,0,27260737,0.593215170573661,2.2777111341643593e-06,0.8189164129276584,3.683423834392953e-13,0.8014865637507145,0.005,0.030760222511108142,0.014655211966989825,0.04707914051080482,0.6075445504381016,True,True,True,True,True
task2,3,task_specialist,True,-1,54,6,polynomial_ridge_interactions,0,27260737,-0.8188679245283018,3.867921090354925e-14,-0.9084690596468874,8.184656177916115e-20,-0.9162950257289879,0.005,0.057918761392385165,0.03683695154808376,0.07770378923101588,0.781376262709827,True,True,True,True,True
balanced_pool,4,opposite_sign_task_specialists,heterogeneous,0,108,6,polynomial_ridge_interactions,0,35260753,0.07953928377490069,0.41319983999533877,0.07163951905287605,0.4633852852993157,0.08336171766395885,0.365,0.059927696914343485,0.04487838852761953,0.07696226789954536,0.6906411235628481,False,True,True,False,True
task1,0,real_structure_null,False,0,96,6,polynomial_ridge_interactions,1,26270741,0.0032962561041779705,0.9745728567852779,-0.154354886599692,0.14633737864482274,-0.009970157352143245,0.94,-0.0011267216781312896,-0.0025277138023642605,0.00021087642448335838,-0.12627489825549085,False,False,False,False,True
task1,1,real_design_proxy,False,0,96,6,polynomial_ridge_interactions,1,26270741,0.898548562126967,2.1855608617934503e-35,0.17488824680335266,0.09921400791327628,0.2786353771025502,0.005,-0.005816054209020569,-0.009809685470892579,-0.002215251266711454,-0.337249500990214,True,False,False,False,True
task1,2,injected_increment,True,1,96,6,polynomial_ridge_interactions,1,26270741,0.6540151926207272,5.009688301277491e-13,0.7542849525257679,9.262940948495489e-18,0.7672544763971785,0.005,0.021352886314865357,0.012027556934478567,0.03082927640235744,0.607699319426732,True,True,True,True,True
task1,3,task_specialist,True,1,96,6,polynomial_ridge_interactions,1,26270741,0.8249186109603907,5.0866800953568055e-25,0.890461403306163,7.71858853645305e-32,0.8983722192078133,0.005,0.06121357194794605,0.04049148934666653,0.08323816851624294,0.7424693747460367,True,True,True,True,True
task2,0,real_structure_null,False,0,54,6,polynomial_ridge_interactions,1,27270744,0.04105202973127501,0.7681962359585547,0.05253077461792636,0.7171248780153078,0.10638460072422334,0.45,-0.0011722755284546771,-0.0033331352775419526,0.0007377334072049934,-0.1568846569905502,False,False,False,False,True
task2,1,real_design_proxy,False,0,54,6,polynomial_ridge_interactions,1,27270744,0.9149990470745186,3.804352885742483e-22,0.1436703195493193,0.3195497514244417,0.19412997903563936,0.16,-0.004625673601005832,-0.007860554382860338,-0.0012796044684221077,-0.2919430251995155,False,False,False,False,True
task2,2,injected_increment,True,1,54,6,polynomial_ridge_interactions,1,27270744,0.5291023441966838,3.89964765139031e-05,0.7469477273382825,4.686968290039189e-10,0.701848675433581,0.005,0.018908421604675436,0.0014570757423850785,0.03602694806901059,0.3812204895483901,True,True,True,True,True
task2,3,task_specialist,True,-1,54,6,polynomial_ridge_interactions,1,27270744,-0.7612349914236707,2.361349007829392e-11,-0.8432707867068745,1.5394517850481458e-14,-0.8355631789594052,0.005,0.05611619711520452,0.02808541955576386,0.08967998519566166,0.7156666639948523,True,True,True,True,True
balanced_pool,4,opposite_sign_task_specialists,heterogeneous,0,108,6,polynomial_ridge_interactions,1,35270760,0.1780845408556975,0.06519153288036895,0.1779855927868142,0.06663223957530824,0.17777206136882484,0.09,0.058248423666026596,0.04138039683973264,0.07426097362651503,0.6621893506381286,False,True,True,False,True
task1,0,real_structure_null,False,0,96,6,polynomial_ridge_interactions,2,26280748,-0.0362316874660879,0.7259924456152506,-0.0857788175457287,0.4214678725940962,-0.3838171459576777,0.005,-0.00033307809523169286,-0.002466632277471481,0.0016965844296983105,-0.03249441318817332,True,False,False,False,True
task1,1,real_design_proxy,False,0,96,6,polynomial_ridge_interactions,2,26280748,0.9002712967986978,1.0178359931611808e-35,0.256753723456084,0.014572527203227277,0.30888497015735217,0.005,-0.0015277897422326,-0.0055821315675182006,0.0018663786670488755,-0.06673291045931017,True,False,False,False,True
task1,2,injected_increment,True,1,96,6,polynomial_ridge_interactions,2,26280748,0.5480195333695063,7.508696392500503e-09,0.7288438280839383,3.8422062567461797e-16,0.8396635919696147,0.005,0.030634716999561603,0.018862967810842523,0.04231795591864487,0.6477442208586172,True,True,True,True,True
task1,3,task_specialist,True,1,96,6,polynomial_ridge_interactions,2,26280748,0.7970293000542593,2.6524430198307917e-22,0.8915785937640345,5.039688432208392e-32,0.8921323928377646,0.005,0.0816221145116487,0.06041745359430457,0.10456977034513118,0.8019004629902563,True,True,True,True,True
task2,0,real_structure_null,False,0,54,6,polynomial_ridge_interactions,2,27280751,0.08305698494377739,0.5504449268305895,0.057645451225564026,0.6908984505044328,0.23209453020773774,0.09,-0.0015750395545649047,-0.004583893846621586,0.0008213309875566352,-0.2058017505927672,False,False,False,False,True
task2,1,real_design_proxy,False,0,54,6,polynomial_ridge_interactions,2,27280751,0.9284162378502,5.166859109040274e-24,0.400459252796478,0.00395511034553802,0.47550981513245655,0.005,-0.0006866601870749965,-0.004977272357292501,0.0038272779640064246,-0.03185284831081952,True,False,False,False,True
task2,2,injected_increment,True,1,54,6,polynomial_ridge_interactions,2,27280751,0.4329712216504669,0.001075156002374764,0.7335318085819468,1.368731529867219e-09,0.7556699066133027,0.005,0.023214063518524383,0.0040563600688661595,0.040928919583419876,0.3476669303074083,True,True,True,True,True
task2,3,task_specialist,True,-1,54,6,polynomial_ridge_interactions,2,27280751,-0.7471316943015055,8.669993697436911e-11,-0.883869287852651,1.8630195976125692e-17,-0.8861063464837048,0.005,0.09266711496074037,0.05486436566733829,0.12674812003652508,0.7791775316303007,True,True,True,True,True
balanced_pool,4,opposite_sign_task_specialists,heterogeneous,0,108,6,polynomial_ridge_interactions,2,35280767,0.010231787133098974,0.9162986052356317,0.0005546520261578322,0.995476037436399,0.014734324832269656,0.88,0.045631803238550074,0.0286787306583932,0.061893637442108844,0.5284597457312088,False,True,True,False,True
task1,0,real_structure_null,False,0,96,6,polynomial_ridge_interactions,3,26290755,0.054245794899620184,0.5996370959248901,-0.1750436394046467,0.09890938982038373,-0.06557243624525232,0.525,-0.0016800930772633421,-0.002885775164486557,-0.0005543557092507198,-0.17439329809663712,False,False,False,False,True
task1,1,real_design_proxy,False,0,96,6,polynomial_ridge_interactions,3,26290755,0.9138497015735215,1.4427614376378464e-38,0.2043629987066991,0.05334711624557313,0.2282284319045035,0.025,-0.0033299153907938427,-0.007277882544849467,0.0003819934355138959,-0.21689573225289505,True,False,False,False,True
task1,2,injected_increment,True,1,96,6,polynomial_ridge_interactions,3,26290755,0.4459169831795985,5.285293358164586e-06,0.7698908325381999,7.473385135852575e-19,0.7881443298969072,0.005,0.032646025967207316,0.017637290058755382,0.04746353560256128,0.5653832720086479,True,True,True,True,True
