scenario,expected_profile,expected_signal,n,polynomial_degree,nuisance_model,repetition,seed,raw_r,raw_p,partial_r,partial_p,legacy_partial_reject,crossfit_residual_r,crossfit_residual_p,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_residual_reject,positive_delta_mse,delta_ci_positive,joint_increment_decision,profile_pass
null_metric,no-increment,False,150,2,polynomial_ridge,0,21763784,-0.0727267878572381,0.37645967317480994,-0.01670316367854976,0.839772028683743,False,-0.13014460511679646,0.51,-0.0006693914252960016,-0.001359901554597278,-4.492659013649947e-05,-0.03378841706515184,False,False,False,False,True
null_metric,no-increment,False,150,2,polynomial_ridge,1,21763785,-0.07896706520289791,0.3367757292507505,-0.06815567629942036,0.40886054582234915,False,0.09988876529477196,0.62,-0.0004975317813670221,-0.001651548618761563,0.0006515603476123209,-0.01925064845699175,False,False,False,False,True
null_metric,no-increment,False,150,2,polynomial_ridge,2,21763786,-0.04418507489221744,0.5913437686240736,-0.08954870634502947,0.27745284209937104,False,0.02647385984427141,0.875,-0.000610311306654971,-0.0018382528927557956,0.0005245948094695667,-0.022676000537527035,False,False,False,False,True
null_metric,no-increment,False,150,2,polynomial_ridge,3,21763787,0.02665185119338637,0.7461318009208578,0.049321667055055474,0.5502797020915173,False,0.3325917686318131,0.075,-0.00018159734967102686,-0.0008309629848308283,0.0003593784941354958,-0.008291021398799362,False,False,False,False,False
null_metric,no-increment,False,150,2,polynomial_ridge,4,21763788,0.0351962309435975,0.6689492746779074,0.031043016588310077,0.7070450329581471,False,-0.3130144605116796,0.075,-8.250714263291839e-05,-0.0008382937887399107,0.0007006530344775112,-0.0029058666176138095,False,False,False,False,False
null_metric,no-increment,False,150,2,polynomial_ridge,5,21763789,-0.08122494333081472,0.3230986933021586,-0.19058316768590797,0.01990397859400677,True,-0.1385984427141268,0.465,-4.9111502132413026e-05,-0.0015031263134054455,0.0013001252020739809,-0.0026742893587995433,False,False,False,False,True
null_metric,no-increment,False,150,2,polynomial_ridge,6,21763790,-0.06230143561936086,0.4488182382032105,-0.05928500605110268,0.4726320131231877,False,0.12258064516129033,0.59,1.8673746204660863e-05,-0.0006919591687623768,0.0006653173852122629,0.00070804097484276,False,True,False,False,True
null_metric,no-increment,False,150,2,polynomial_ridge,7,21763791,0.04684830436908307,0.5691627091105607,0.0025346689624672057,0.9755254925212973,False,0.1203559510567297,0.535,-0.0007218220975268828,-0.0015300966710903507,-4.6959503079393006e-05,-0.02502823492540931,False,False,False,False,True
null_metric,no-increment,False,150,2,polynomial_ridge,8,21763792,0.010359571536512735,0.8998741736832532,0.060382654478250725,0.4644587456422762,False,0.046941045606229144,0.8,1.7197922425118972e-06,-0.0006625945076160323,0.0006534565805704437,7.581303143500319e-05,False,True,False,False,True
null_metric,no-increment,False,150,2,polynomial_ridge,9,21763793,-0.07833770389795103,0.34065280248960916,-0.05305129993807966,0.5205014561672427,False,0.17241379310344826,0.345,0.00028119704180886926,-0.0011382199137551538,0.0017126649302760925,0.009231184363367593,False,True,False,False,False
null_metric,no-increment,False,150,2,polynomial_ridge,10,21763794,-0.1003369038623939,0.22182995293028815,0.02536989471321347,0.7587517214482322,False,0.05494994438264739,0.75,-0.000592668006987946,-0.001701369646395352,0.0004461708999557253,-0.02695713069773026,False,False,False,False,True
null_metric,no-increment,False,150,2,polynomial_ridge,11,21763795,0.02257344770878706,0.7839391417891851,-0.08769173657517614,0.2875782057052499,False,-0.3699666295884316,0.035,-0.000978166925118866,-0.0018679513891594643,-9.436374815728049e-05,-0.04710812818749703,True,False,False,False,False
null_metric,no-increment,False,150,2,polynomial_ridge,12,21763796,-0.022367216320725365,0.7858652484801886,-0.047395835890330314,0.5659743882223426,False,0.05094549499443826,0.78,-0.0007778013494431461,-0.0012572135430376824,-0.00032010475111967566,-0.042333918898304776,False,False,False,False,True
null_metric,no-increment,False,150,2,polynomial_ridge,13,21763797,-0.07829503533490378,0.3409166752873436,0.00659026056833269,0.9364219685781637,False,-0.13414905450500555,0.48,0.0008151683731919476,-0.0013190232369276694,0.002719465492131047,0.035744218334138836,False,True,False,False,True
null_metric,no-increment,False,150,2,polynomial_ridge,14,21763798,-0.08181874749988889,0.3195621267956163,-0.030246011945503797,0.7142351714404788,False,-0.1621802002224694,0.38,-0.0009902226382186956,-0.0018450595090599249,-0.00012677191953744507,-0.032169682784068766,False,False,False,False,False
