scenario,expected_profile,expected_signal,n,polynomial_degree,nuisance_model,legacy_partial_reject_rate,legacy_partial_reject_ci_low,legacy_partial_reject_ci_high,crossfit_residual_reject_rate,crossfit_residual_reject_ci_low,crossfit_residual_reject_ci_high,joint_increment_decision_rate,joint_increment_decision_ci_low,joint_increment_decision_ci_high,profile_pass_rate,profile_pass_ci_low,profile_pass_ci_high,repetitions,median_residual_r,median_delta_mse,median_relative_mse_improvement
clustered_null,conditional-null,False,150,2,polynomial_ridge,0.36,0.2727122040140433,0.4576459754839126,0.16,0.10095288488804782,0.24420269389270244,0.01,0.0017674320641406505,0.054486196178705315,0.97,0.9154806357094724,0.9897454759759611,100,0.15194660734149054,-0.0009357231036001188,-0.050008086856226305
clustered_null,conditional-null,False,150,4,polynomial_ridge,0.29,0.2101483574912227,0.3853889117557111,0.12,0.06999406437019488,0.19812099426711421,0.02,0.00550196755016235,0.07001179072854388,0.92,0.8500189229905127,0.9589065385156194,100,0.007341490545050056,-0.0030495546375669457,-0.14257819174177414
clustered_null,conditional-null,False,150,6,polynomial_ridge,0.37,0.28182360534324524,0.4677947041905709,0.17,0.10893566114059931,0.25548004767601123,0.0,3.469446951953614e-18,0.03699349820698568,0.75,0.656955364519384,0.8245478863771232,100,-0.06407119021134594,-0.011018494258822613,-0.2338723291401386
clustered_null,conditional-null,False,300,2,polynomial_ridge,0.33,0.24563122734128034,0.4269465620490947,0.18,0.1170022549894635,0.2666735838630073,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.10138927479855518,-0.0006016218294547879,-0.029758008632242504
clustered_null,conditional-null,False,300,4,polynomial_ridge,0.39,0.3001687400639441,0.4879698295415926,0.04,0.01566330399154762,0.0983707143588792,0.0,3.469446951953614e-18,0.03699349820698568,0.99,0.9455138038212946,0.9982325679358593,100,0.036621283689913874,-0.0012458593223758372,-0.060194891524737726
clustered_null,conditional-null,False,300,6,polynomial_ridge,0.33,0.24563122734128034,0.4269465620490947,0.09,0.04807254000256516,0.1622621285271631,0.0,3.469446951953614e-18,0.03699349820698568,0.87,0.7901964855992357,0.9224283257275948,100,0.015698805223673246,-0.0019144608044111642,-0.07355816625535931
clustered_null,conditional-null,False,600,2,polynomial_ridge,0.46,0.36560808309024106,0.5573513967663177,0.32,0.23669147324999093,0.41662618610452384,0.01,0.0017674320641406505,0.054486196178705315,1.0,0.9630065017930143,1.0,100,0.1219737481769567,-0.0002509803021633339,-0.012049342946195307
clustered_null,conditional-null,False,600,4,polynomial_ridge,0.44,0.34672026630160796,0.5377189534832302,0.08,0.041093461484380624,0.14998107700948735,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.01376484478088756,-0.00045641318814010606,-0.024110402004041846
clustered_null,conditional-null,False,600,6,polynomial_ridge,0.37,0.28182360534324524,0.4677947041905709,0.06,0.027786123963188192,0.1247681544589592,0.0,3.469446951953614e-18,0.03699349820698568,0.96,0.9016292856411208,0.9843366960084523,100,0.019310368775609415,-0.0009790691003459355,-0.04777649826579564
genuine_increment,increment-survives,True,150,2,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8384872080088988,0.03991489583307837,0.7327425945225492
genuine_increment,increment-survives,True,150,4,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8536151279199111,0.04204772828603149,0.7416999483892655
genuine_increment,increment-survives,True,150,6,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,0.89,0.8136870349691969,0.9374580364293543,0.94,0.8752318455410406,0.9722138760368118,100,0.8440489432703003,0.04667655239461385,0.7419523076830054
genuine_increment,increment-survives,True,300,2,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.853876076687969,0.0411387764477708,0.7415763154990351
genuine_increment,increment-survives,True,300,4,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8449847179772161,0.04214609818673888,0.7492564563181867
genuine_increment,increment-survives,True,300,6,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,0.98,0.929988209271456,0.9944980324498376,1.0,0.9630065017930143,1.0,100,0.835537649347041,0.04221091844073587,0.7414855801767537
genuine_increment,increment-survives,True,600,2,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8523300229182581,0.040196877524990626,0.7464574743664074
genuine_increment,increment-survives,True,600,4,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8600805611500797,0.04106756915979948,0.7541276448120826
genuine_increment,increment-survives,True,600,6,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8565282311271615,0.0416593120423806,0.7519764909904741
heteroskedastic_null,conditional-null,False,150,2,polynomial_ridge,0.21,0.141656540619153,0.29979968834089865,0.07,0.03431926106727268,0.137495147390735,0.03,0.010254524024038925,0.0845193642905276,1.0,0.9630065017930143,1.0,100,-0.026028921023359287,0.00018600559462028654,0.018108927374389246
heteroskedastic_null,conditional-null,False,150,4,polynomial_ridge,0.19,0.12514751509768735,0.27778845379064376,0.07,0.03431926106727268,0.137495147390735,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,-0.02335928809788654,-0.0003080982107830383,-0.03433814612169926
heteroskedastic_null,conditional-null,False,150,6,polynomial_ridge,0.23,0.15843265880303448,0.3215438302287378,0.06,0.027786123963188192,0.1247681544589592,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,-0.004004449388209121,-0.000408057928189627,-0.05932346565513967
heteroskedastic_null,conditional-null,False,300,2,polynomial_ridge,0.35,0.26364248243097527,0.44745556703112027,0.09,0.04807254000256516,0.1622621285271631,0.02,0.00550196755016235,0.07001179072854388,1.0,0.9630065017930143,1.0,100,-0.06854681856071132,0.00043271405621894774,0.04006897904829142
heteroskedastic_null,conditional-null,False,300,4,polynomial_ridge,0.32,0.23669147324999093,0.41662618610452384,0.06,0.027786123963188192,0.1247681544589592,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,-0.0012781328146707423,-0.00013254288296794987,-0.016404056500551125
heteroskedastic_null,conditional-null,False,300,6,polynomial_ridge,0.32,0.23669147324999093,0.41662618610452384,0.03,0.010254524024038925,0.0845193642905276,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.008641289247013061,-0.00020771932070752855,-0.02398685996447327
heteroskedastic_null,conditional-null,False,600,2,polynomial_ridge,0.37,0.28182360534324524,0.4677947041905709,0.05,0.02154367915436796,0.11175046923191913,0.03,0.010254524024038925,0.0845193642905276,1.0,0.9630065017930143,1.0,100,-0.04885755955274672,0.0004419434758055228,0.04166547646008682
