scope,case,case_name,expected_signal,expected_direction,n,polynomial_degree,nuisance_model,repetition,seed,raw_r,raw_p,partial_r,partial_p,crossfit_residual_r,crossfit_residual_p,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_residual_reject,positive_delta_mse,delta_ci_positive,joint_increment_decision,sign_correct
task1,0,real_structure_null,False,0,96,2,polynomial_ridge,0,22260722,0.009753119913185025,0.9248620325008063,-0.034421189706083315,0.747392922541019,-0.09339392295170917,0.35,-0.0013417458979158147,-0.0019882506788429775,-0.0006656227956174281,-0.11589324272748223,False,False,False,False,True
task1,1,real_design_proxy,False,0,96,2,polynomial_ridge,0,22260722,0.8851600651112316,5.3912924814833585e-33,0.09858204530130436,0.3552715248823191,0.0830846446011937,0.335,-0.00046259642133093803,-0.0014447049691379385,0.0004231092516021091,-0.024111330940084275,False,False,False,False,True
task1,2,injected_increment,True,1,96,2,polynomial_ridge,0,22260722,0.46961475854584916,1.3870304335620182e-06,0.6731511483842307,3.643526380361116e-13,0.6534183396635919,0.005,0.025347798016133256,0.012301341936047873,0.038099991132696694,0.46221702059401953,True,True,True,True,True
task1,3,task_specialist,True,1,96,2,polynomial_ridge,0,22260722,0.8272381985892566,2.877023401535726e-25,0.9144764902826868,2.445214190074178e-36,0.9088714053174172,0.005,0.04638403470243001,0.03097325030553458,0.06229657057857568,0.8236649988821946,True,True,True,True,True
task2,0,real_structure_null,False,0,54,2,polynomial_ridge,0,23260725,-0.07962645321135886,0.5670841053142122,0.0425644285877033,0.7691427193636435,0.025195349723651606,0.82,-0.0008131011027243742,-0.0014071661362586381,-0.00034140454231871,-0.08639157729250473,False,False,False,False,True
task2,1,real_design_proxy,False,0,54,2,polynomial_ridge,0,23260725,0.9076043453401942,3.033090010971575e-21,0.25335215980267217,0.07585695228877205,0.36382694873260907,0.01,0.0026350964763212567,-0.00014700125513477283,0.005520297405004149,0.1344636207660938,True,True,False,False,True
task2,2,injected_increment,True,1,54,2,polynomial_ridge,0,23260725,0.545721364589289,1.974139849760583e-05,0.7273826017257257,2.1901749252955153e-09,0.8530970078139889,0.005,0.039507579809846136,0.02037965916689481,0.05805981438353765,0.6849583826288271,True,True,True,True,True
task2,3,task_specialist,True,-1,54,2,polynomial_ridge,0,23260725,-0.8319039451114921,6.580101325046074e-15,-0.9225270264684043,1.758390057582722e-21,-0.9350485991995425,0.005,0.07561916335619726,0.048416236126952665,0.10279266254655195,0.8629785374219113,True,True,True,True,True
balanced_pool,4,opposite_sign_task_specialists,heterogeneous,0,108,2,polynomial_ridge,0,31260741,-0.018882124858288798,0.8462050676252785,-0.01885794608437385,0.8471202490480071,-0.0029630264794836825,0.97,-0.0030656228487760534,-0.006327007861758726,0.00037914693240052026,-0.03555464689627683,False,False,False,False,True
task1,0,real_structure_null,False,0,96,2,polynomial_ridge,1,22270729,0.07380629408572978,0.4748230753857006,-0.07463673701735019,0.48446164883754445,-0.05685024416711883,0.54,-0.00030592720381369953,-0.001672612613070966,0.001086971918394066,-0.024875360085967697,False,False,False,False,True
