scope,case_name,expected_signal,polynomial_degree,nuisance_model,n,repetitions,joint_decision_rate,joint_decision_ci_low,joint_decision_ci_high,sign_correct_rate,median_residual_r,median_delta_mse
balanced_pool,opposite_sign_task_specialists,heterogeneous,2,polynomial_ridge,108,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,-0.004212277825318756,-0.004109765212414164
task1,injected_increment,True,2,polynomial_ridge,96,100,1.0,0.9630065017930143,1.0,1.0,0.7814975583288117,0.028371032741989557
task1,real_design_proxy,False,2,polynomial_ridge,96,100,0.03,0.010254524024038925,0.0845193642905276,1.0,0.17866250678241996,-0.00012007484735617694
task1,real_structure_null,False,2,polynomial_ridge,96,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.006070265870862724,-0.00037044922760361403
task1,task_specialist,True,2,polynomial_ridge,96,100,1.0,0.9630065017930143,1.0,1.0,0.9099565925122084,0.061578515507079074
task2,injected_increment,True,2,polynomial_ridge,54,100,1.0,0.9630065017930143,1.0,1.0,0.8319420621307413,0.029601646250877016
task2,real_design_proxy,False,2,polynomial_ridge,54,100,0.07,0.03431926106727268,0.137495147390735,1.0,0.22248904135696584,0.0001392735634298311
task2,real_structure_null,False,2,polynomial_ridge,54,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.02264150943396226,-0.0006652426865990393
task2,task_specialist,True,2,polynomial_ridge,54,100,1.0,0.9630065017930143,1.0,1.0,-0.9024204307223174,0.06975093328501933
balanced_pool,opposite_sign_task_specialists,heterogeneous,4,polynomial_ridge,108,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,-0.0009301287787644349,-0.006956954950373635
task1,injected_increment,True,4,polynomial_ridge,96,100,1.0,0.9630065017930143,1.0,1.0,0.7905792186652196,0.028718884994177803
task1,real_design_proxy,False,4,polynomial_ridge,96,100,0.02,0.00550196755016235,0.07001179072854388,1.0,0.2020550732501356,0.0003539678300119361
task1,real_structure_null,False,4,polynomial_ridge,96,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.01821079761258817,-0.0007115083993010094
task1,task_specialist,True,4,polynomial_ridge,96,100,1.0,0.9630065017930143,1.0,1.0,0.9068366793271839,0.06344048827742178
task2,injected_increment,True,4,polynomial_ridge,54,100,0.98,0.929988209271456,0.9944980324498376,1.0,0.8425767105012387,0.03129999000106871
task2,real_design_proxy,False,4,polynomial_ridge,54,100,0.02,0.00550196755016235,0.07001179072854388,1.0,0.19519725557461404,-0.00038272997273673497
task2,real_structure_null,False,4,polynomial_ridge,54,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,-0.006937297503335238,-0.0009261201537139494
task2,task_specialist,True,4,polynomial_ridge,54,100,1.0,0.9630065017930143,1.0,1.0,-0.9048599199542595,0.06696077986235782
balanced_pool,opposite_sign_task_specialists,heterogeneous,6,polynomial_ridge,108,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,-0.016997224141886216,-0.008957483730497331
task1,injected_increment,True,6,polynomial_ridge,96,100,1.0,0.9630065017930143,1.0,1.0,0.7859264785675528,0.02632785130140168
task1,real_design_proxy,False,6,polynomial_ridge,96,100,0.03,0.010254524024038925,0.0845193642905276,1.0,0.19376695604991861,-0.0001235857207109118
task1,real_structure_null,False,6,polynomial_ridge,96,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.0056361909929462835,-0.001284006846973257
task1,task_specialist,True,6,polynomial_ridge,96,100,1.0,0.9630065017930143,1.0,1.0,0.9077658708627239,0.06254245897903069
task2,injected_increment,True,6,polynomial_ridge,54,100,1.0,0.9630065017930143,1.0,1.0,0.8421574232894986,0.029645193274309027
task2,real_design_proxy,False,6,polynomial_ridge,54,100,0.02,0.00550196755016235,0.07001179072854388,1.0,0.20579378692586237,-0.0016395697240565478
task2,real_structure_null,False,6,polynomial_ridge,54,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.0045740423098913656,-0.0013938919531555844
task2,task_specialist,True,6,polynomial_ridge,54,100,1.0,0.9630065017930143,1.0,1.0,-0.9011625690870972,0.06747649667977997
