study_id,scope,baseline_level,metric,target,controls,nuisance_model,n,independence_units,raw_r,partial_r,legacy_classification,crossfit_run_residual_r,crossfit_residual_r,crossfit_permutation_p,crossfit_residual_ci_low,crossfit_residual_ci_high,baseline_mse,augmented_mse,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_permutation_q,increment_classification
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.dist_spec_init,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5799610723043086,0.5304876742408131,survives,0.4049299985745959,0.39150133950133953,0.005,0.3296587273662193,0.461511859277658,0.01750923360905057,0.006716794789773287,0.010792438819277283,0.00956109070152734,0.011938543090999313,0.6163855631978457,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.dist_spec_init_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5891697483643795,0.5805752180312329,survives,0.46559013838976193,0.4594327114327115,0.005,0.3978126000615095,0.5141555742685914,0.017404622377917914,0.009578488932108858,0.007826133445809055,0.006601631961632849,0.008957290301390173,0.44965833075117156,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.fro_dist,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6552146470449223,0.6354290373579173,survives,0.5834623940005785,0.5896913296913298,0.005,0.535969862242724,0.6394215602813826,0.017677103030087685,0.010259703215428616,0.007417399814659069,0.006151857325972258,0.0083842986954371,0.4196049433006148,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.fro_over_spec,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.38230773757413766,-0.37037213877157604,reverse-inversion,-0.16704363660383173,-0.149962061962062,0.005,-0.20888478849207137,-0.09202936320592542,0.01733483864195591,0.016707032967623752,0.0006278056743321582,7.969319400579192e-05,0.001237526270754436,0.03621641293000938,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.fro_over_spec_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.37249170936121434,-0.3426378525283006,reverse-inversion,-0.1560542742855395,-0.1454044694044694,0.005,-0.20966916269361965,-0.09043526786615806,0.017555697240618506,0.017148110789719097,0.00040758645089940954,-5.6702325975086266e-05,0.0008683931641525087,0.023216762359992135,0.005333333333333333,residual-dependence-only
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.inverse_margin,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6156671101206138,0.05621716805816667,washout,0.08131340328713232,0.09174769974769977,0.01,0.03715991563071397,0.15781719138359818,0.017472883940956366,0.017462854972753787,1.0028968202579341e-05,-0.0001599162077539867,0.00017878843690880802,0.000573973262597566,0.01032258064516129,residual-dependence-only
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_prod_of_fro,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.23942058056682555,0.1956547103741835,weak-or-mixed,0.33549205448131164,0.3435920235920236,0.005,0.2926390086172549,0.39979105424000616,0.017468497086543387,0.012190571569780486,0.005277925516762901,0.004171363682643315,0.006384353445272237,0.30213964547806904,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_prod_of_fro_over_margin,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.23946292407667238,0.21144980049133005,sign-inversion,0.34184349050630025,0.35025767025767024,0.005,0.29799924972093944,0.4064632248284206,0.017373134963229207,0.012130773912950933,0.005242361050278274,0.004045736791296264,0.006334692164742447,0.3017510116265083,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_prod_of_spec,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2614898213947085,0.510280152084128,sign-inversion,0.5003690897296607,0.5023906543906544,0.005,0.4575341848691402,0.5456646529304308,0.017376081946061894,0.007980737054270602,0.009395344891791292,0.008335659975913049,0.010464585884748788,0.5407056044599656,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_prod_of_spec_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.3121074388097063,0.32077033467739785,sign-inversion,0.3483394637590615,0.34626880626880624,0.005,0.298135351572213,0.39227872383784396,0.01733031373925508,0.007717512826359746,0.009612800912895333,0.008546626418366676,0.010494697868393528,0.554681297610976,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_prod_of_spec_over_margin,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2650638733199442,0.5123596756625008,sign-inversion,0.4933243571449006,0.49346893346893356,0.005,0.4509440688558095,0.5362731161709094,0.017263239071954515,0.008157497228383385,0.00910574184357113,0.008148228874804278,0.01009965149531726,0.5274642728179627,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_prod_of_spec_over_margin_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.3148149162460588,0.32611686981142896,sign-inversion,0.34361925053975845,0.3405253725253725,0.005,0.29284899493076416,0.38905093472287067,0.017553612823299324,0.008384532625470998,0.009169080197828326,0.008066988273774604,0.010206468478715019,0.5223471823223759,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_spec_init_main,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2522302191791605,0.5123579696657681,sign-inversion,0.5231508615450928,0.5229809469809471,0.005,0.47727552456289907,0.5638853909957979,0.017591752737966496,0.00801356538197463,0.009578187355991866,0.008550288106510305,0.010648567126278609,0.5444703264456552,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_spec_init_main_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.29307729037208957,0.35643101935564997,sign-inversion,0.382902581431395,0.37313403713403714,0.005,0.32501164460475845,0.4230765724418954,0.017413724473820964,0.0077895285607418275,0.009624195913079135,0.008693622976950009,0.01061867369297568,0.5526787751550643,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_spec_orig_main,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.25314009934646137,0.46679056658611456,sign-inversion,0.48357571289593354,0.4827379347379348,0.005,0.43861255870703886,0.5280635672031119,0.01735863068407052,0.008064643514338901,0.009293987169731618,0.00839702057283204,0.010276639950306843,0.5354101564163367,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_spec_orig_main_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.29357516342160084,0.34373573546289343,sign-inversion,0.3784730891273423,0.36842363642363646,0.005,0.31185482575020007,0.41657429289619274,0.017301995814298116,0.007451777640664724,0.009850218173633392,0.008812652758604194,0.010944489182273661,0.5693110944746221,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_sum_of_fro,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5779416955322724,0.3808963327116705,survives,0.2709053242277929,0.28421906021906024,0.005,0.22887291166453652,0.344520654804049,0.01738778792806675,0.015709817902396173,0.0016779700256705776,0.0010061768996838338,0.0023558265583535735,0.09650278877407159,0.005333333333333333,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_sum_of_fro_over_margin,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.548223564701861,0.32991147540730265,survives,0.25009013465316987,0.26223753423753426,0.005,0.19723768202537112,0.3199940600569356,0.017264311972733093,0.015989482074400485,0.0012748298983326078,0.0005801323289071544,0.0019560121498049432,0.07384191738112984,0.005333333333333333,increment-supported
