hyperparameter,metric,environments,mean_sign_error,p90_sign_error,max_sign_error,study_id,scope,baseline_level,target,controls,nuisance_model,n,independence_units,raw_r,partial_r,legacy_classification,crossfit_run_residual_r,crossfit_residual_r,crossfit_permutation_p,crossfit_residual_ci_low,crossfit_residual_ci_high,baseline_mse,augmented_mse,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_permutation_q,increment_classification,source_mean_rank,mbe_abs_residual_rank,rank_gap
all,complexity.pacbayes_orig,9242,0.0971774235772012,0.36,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6457030913061134,0.6285678734083296,survives,0.5799405233508687,0.5881886161886162,0.005,0.5315617828215797,0.6320107893782465,0.0172086243604301,0.0105784122614329,0.0066302120989972,0.0052986638815359,0.0077091348183916,0.3852842598065459,0.0053333333333333,increment-supported,1.0,4.0,3.0
all,complexity.pacbayes_flatness,9242,0.1024274803213747,0.5072659243634601,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6625467610550482,0.5008711201354978,survives,0.5608595353527404,0.5796779796779797,0.005,0.5376896792978714,0.619129997752482,0.0175935794902689,0.0115490952242309,0.006044484266038,0.0049483214089079,0.0070556256670081,0.3435619380002367,0.0053333333333333,increment-supported,2.0,5.0,3.0
all,complexity.pacbayes_init,9242,0.106247230292521,0.8194321653728341,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6927113036470601,0.6712523181580096,survives,0.6334980702101377,0.6414809574809575,0.005,0.589548527145805,0.6842031846652215,0.0173742309186931,0.0077443088000395,0.0096299221186536,0.0084339263182257,0.0107970734597177,0.5542646557260066,0.0053333333333333,increment-supported,3.0,1.0,2.0
all,complexity.path_norm_over_margin,9242,0.1217017643738542,0.99,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.4519828170074041,0.3604462620218806,survives,0.3272369534113327,0.3374690294690295,0.005,0.2759616859142897,0.3989622978643687,0.0173771123964234,0.0105013265472708,0.0068757858491525,0.0056425091481617,0.0080965652110875,0.3956805763981685,0.0053333333333333,increment-supported,4.0,15.0,11.0
all,complexity.pacbayes_mag_flatness,9242,0.1261411928040567,0.5199999990706646,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.7204511403519301,0.6280605738435198,survives,0.5844080029766197,0.6305598065598065,0.005,0.5819387120676501,0.678881204464037,0.0175187812814194,0.0089969253232143,0.0085218559582051,0.0076187789211628,0.0094487309717198,0.4864411411565181,0.0053333333333333,increment-supported,5.0,2.0,3.0
all,complexity.path_norm,9242,0.1273607331962787,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.4475992855828127,0.344967057275045,survives,0.3077760321334921,0.3192538632538633,0.005,0.2560422036808744,0.3755046649850682,0.0174886866712438,0.0107093176035201,0.0067793690677236,0.0056416357558469,0.0080603408726565,0.3876431201017982,0.0053333333333333,increment-supported,6.0,17.0,11.0
all,complexity.fro_dist,9242,0.1403539329096188,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6552146470449223,0.6354290373579173,survives,0.5834623940005785,0.5896913296913298,0.005,0.535969862242724,0.6394215602813826,0.0176771030300876,0.0102597032154286,0.007417399814659,0.0061518573259722,0.0083842986954371,0.4196049433006148,0.0053333333333333,increment-supported,7.0,3.0,4.0
all,complexity.log_sum_of_fro,9242,0.1615909077395111,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5779416955322724,0.3808963327116705,survives,0.2709053242277929,0.2842190602190602,0.005,0.2288729116645365,0.344520654804049,0.0173877879280667,0.0157098179023961,0.0016779700256705,0.0010061768996838,0.0023558265583535,0.0965027887740715,0.0053333333333333,increment-supported,8.0,19.0,11.0
all,complexity.param_norm,9242,0.1787633186264796,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5875206397347865,0.5447107586726676,survives,0.4626769344776096,0.4708675708675708,0.005,0.4180380332417108,0.5267450512462588,0.0175103753065505,0.0135711777294963,0.0039391975770542,0.0030955460930556,0.0048394053483211,0.2249636291679353,0.0053333333333333,increment-supported,9.0,6.0,3.0
all,complexity.log_sum_of_fro_over_margin,9242,0.1856786240267708,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.548223564701861,0.3299114754073026,survives,0.2500901346531698,0.2622375342375342,0.005,0.1972376820253711,0.3199940600569356,0.017264311972733,0.0159894820744004,0.0012748298983326,0.0005801323289071,0.0019560121498049,0.0738419173811298,0.0053333333333333,increment-supported,10.0,20.0,10.0
