task,split,n,nuisance_model,polynomial_degree,target,controls,raw_train_loss_r,partial_train_loss_r,crossfit_train_loss_residual_r,crossfit_permutation_p,residual_ci_low,residual_ci_high,hyperparameter_baseline_mse,plus_train_loss_mse,train_loss_delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,increment_classification
task1,development,96,polynomial_ridge,4,generalization_gap_accuracy,"hp.convwidth,hp.dropout_p,hp.num_conv_blocks,hp.num_dense_layers,hp.weight_decay,hp.bs",0.4485892566467716,0.1217792210354495,0.019872490504612043,0.885,-0.15454020718421513,0.21466936780287632,0.012819776739702549,0.012371225978459056,0.00044855076124349254,-0.0010204404720149884,0.002098348443986431,0.034988968244223886,no-supported-increment
task1,development,96,polynomial_ridge,6,generalization_gap_accuracy,"hp.convwidth,hp.dropout_p,hp.num_conv_blocks,hp.num_dense_layers,hp.weight_decay,hp.bs",0.4485892566467716,0.1217792210354495,0.06806836679327184,0.435,-0.09590492124819937,0.25362529299909686,0.015666567547087378,0.015560498959053088,0.00010606858803429049,-0.0016798515538373406,0.0020531292768978847,0.006770378241148939,no-supported-increment
task1,development,96,polynomial_ridge_interactions,6,generalization_gap_accuracy,"hp.convwidth,hp.dropout_p,hp.num_conv_blocks,hp.num_dense_layers,hp.weight_decay,hp.bs",0.4485892566467716,0.1217792210354495,0.4073114487249051,0.005,0.23739552680289328,0.5535350641183276,0.009031224225285206,0.008617760625833791,0.0004134635994514149,-0.0020818668692806127,0.0026372074814661486,0.04578156727565445,residual-dependence-only
task2,development,54,polynomial_ridge,4,generalization_gap_accuracy,"hp.depth,hp.dropout_p,hp.weight_decay,hp.bs",-0.07749190013340956,-0.07651694273581676,0.14450161997331806,0.235,-0.1404705479522655,0.40002876484921635,0.007390834958413691,0.008037435743035025,-0.0006466007846213338,-0.001898108008302181,0.0005125972363866231,-0.08748683853172051,no-supported-increment
task2,development,54,polynomial_ridge,6,generalization_gap_accuracy,"hp.depth,hp.dropout_p,hp.weight_decay,hp.bs",-0.07749190013340956,-0.07651694273581676,0.13809796073947014,0.31,-0.1356961193907495,0.3963053711943179,0.007295941314862334,0.008484601216638007,-0.0011886599017756731,-0.002467342283723405,0.0002577660134380891,-0.1629207048793404,no-supported-increment
task2,development,54,polynomial_ridge_interactions,6,generalization_gap_accuracy,"hp.depth,hp.dropout_p,hp.weight_decay,hp.bs",-0.07749190013340956,-0.07651694273581676,-0.004002287021154945,0.985,-0.2595629731215067,0.28367842782940594,0.009155065074147331,0.008255551557741266,0.0008995135164060648,-0.001228726400545979,0.0034686587979817383,0.09825309914466579,no-supported-increment
task4,validation,96,polynomial_ridge,4,generalization_gap_accuracy,"hp.nparams,hp.depth,hp.wd,hp.reverse,hp.lr,hp.bs",0.6552767227346717,0.279346543437009,0.10345903418339664,0.33,-0.1169844421279403,0.2847277585887201,0.018530399740701847,0.019429991443039196,-0.0008995917023373497,-0.00364239124292411,0.0014332292303885282,-0.048546804975901574,no-supported-increment
task4,validation,96,polynomial_ridge,6,generalization_gap_accuracy,"hp.nparams,hp.depth,hp.wd,hp.reverse,hp.lr,hp.bs",0.6552767227346717,0.279346543437009,0.13440043407487792,0.21,-0.06944034522984287,0.31212844526828554,0.01997869712192722,0.020584995675434054,-0.0006062985535068358,-0.00397917232390698,0.0026942073986730847,-0.030347251865658693,no-supported-increment
task4,validation,96,polynomial_ridge_interactions,6,generalization_gap_accuracy,"hp.nparams,hp.depth,hp.wd,hp.reverse,hp.lr,hp.bs",0.6552767227346717,0.279346543437009,0.12456592512208356,0.245,-0.06473124099223723,0.3207096938577309,0.017652420969154165,0.015613411151166504,0.0020390098179876616,-0.0017650510425633074,0.005362409889924188,0.11550879177143049,no-supported-increment
task5,validation,64,polynomial_ridge,4,generalization_gap_accuracy,"hp.nparams,hp.depth,hp.wd,hp.reverse,hp.lr,hp.bs",-0.12019230769230768,0.11906928297412253,0.07884615384615384,0.555,-0.1406420909196463,0.3010048352685355,0.0812009682190446,0.0838934998430756,-0.0026925316240310054,-0.01612543594938414,0.010759255688394672,-0.03315886107130812,no-supported-increment
