metric,median_batch_std,across_model_std,batch_to_model_sd
relative_distance_from_initialization,0.0,0.06722633219184289,0.0
update_to_weight_ratio,0.0,0.07485863887356206,0.0
parameter_l2,0.0,266.55131518937765,0.0
distance_from_initialization_l2,0.0,135.1678597535226,0.0
feature_erank,0.01586150614383025,0.23042935090050062,0.06883457372875754
empirical_fisher_trace,0.8865389060008043,5.696473671107579,0.1556294221980372
gradient_norm,0.0611950052970418,0.30534072341061225,0.20041547230746798
prediction_entropy,0.1540923091791236,0.4093379260540962,0.37644278570649586
prediction_confidence,0.0149352686000854,0.0324779392609546,0.45985887466822045
prediction_margin,0.013114261232153101,0.027937219565896208,0.4694189842772353
metric_batch_loss,0.2216709642079635,0.4525963670334813,0.4897762782783565
fim_norm,0.017591395054729148,0.03537201482478515,0.49732522000422963
fim_erank,0.14073116043783346,0.2829761185982812,0.49732522000423063
metric_batch_accuracy,0.0206390584146248,0.03158108661218667,0.6535259115074431
sharpness_random_perturbation,0.00265717388489715,0.0032023494221564003,0.8297576356011332
