baseline,metric,nuisance_model,status,target,controls,group_col,permutation_block_col,n,independence_units,n_splits,polynomial_degree,run_residual_r,residual_r,residual_p,residual_ci_low,residual_ci_high,baseline_mse,augmented_mse,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,increment_classification,refit_bootstrap_draws,refit_bootstrap_successful,refit_residual_ci_low,refit_residual_ci_high,refit_delta_mse_ci_low,refit_delta_mse_ci_high,refit_predictive_classification,refit_increment_classification
B1_design,prediction_confidence,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.492792905890294,-0.7245817245817247,0.001,,,0.001956618602448261,0.0012709739836794351,0.0006856446187688257,,,0.35042323420154453,residual-dependence-only,199,199,-0.931556585554268,-0.17941190201616417,-0.0004964270545972218,0.003957120419616861,no-supported-increment,residual-dependence-only
B1_design,prediction_confidence,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.4474113620170503,-0.6496782496782497,0.001,,,0.0020181862621843193,0.00141837869958751,0.0005998075625968094,,,0.2972012909985954,residual-dependence-only,199,199,-0.9778082474496194,0.10488940130646292,-0.00012233714411251725,0.004078053768742268,no-supported-increment,residual-dependence-only
B1_design,prediction_entropy,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,0.3110004403511284,0.17940797940797942,0.271,,,0.001956618602448261,0.0016496719680567772,0.00030694663439148357,,,0.15687606874809942,no-supported-increment,199,199,-0.2775599568262201,0.8506417775279574,-0.0002454515307004356,0.0031635608874229964,no-supported-increment,no-supported-increment
B1_design,prediction_entropy,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,0.33648626681170785,0.4880308880308881,0.003,,,0.0020181862621843193,0.0018209733351388512,0.00019721292704546816,,,0.097717901831331,residual-dependence-only,199,199,-0.0750375917004637,0.9182824771469033,-0.00022212997113541406,0.00255879546542638,no-supported-increment,residual-dependence-only
B1_design,prediction_margin,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.49199836413700526,-0.656885456885457,0.001,,,0.001956618602448261,0.0012552759458623404,0.0007013426565859204,,,0.3584462785482824,residual-dependence-only,199,199,-0.8967158049747493,-0.04720191059224127,-0.000258205914366579,0.0038319642980843903,no-supported-increment,residual-dependence-only
B1_design,prediction_margin,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.45946322729144295,-0.6357786357786358,0.001,,,0.0020181862621843193,0.00148399762356191,0.0005341886386224094,,,0.2646874813448821,residual-dependence-only,199,199,-0.961071286115737,0.33583889242017656,-0.00012781226098002385,0.0039848699231352525,no-supported-increment,residual-dependence-only
B1_design,gradient_norm,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,0.08506040173857718,0.09317889317889319,0.568,,,0.001956618602448261,0.0016906465597326446,0.00026597204271561615,,,0.135934536440987,no-supported-increment,199,199,-0.47777491630182845,0.597528639464538,-0.0018587731660824679,0.0020853259873180913,no-supported-increment,no-supported-increment
B1_design,gradient_norm,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,0.04110034410189129,0.009266409266409266,0.967,,,0.0020181862621843193,0.001346928229278824,0.0006712580329054953,,,0.33260459923009317,no-supported-increment,199,199,-0.5396778422389062,0.7296928811643401,-0.002419299519510807,0.0028951300577512748,no-supported-increment,no-supported-increment
B1_design,empirical_fisher_trace,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,0.02644156942849398,0.06846846846846848,0.677,,,0.001956618602448261,0.0014616193915476172,0.0004949992109006436,,,0.2529870718193445,no-supported-increment,199,199,-0.5160123528191884,0.6316613014375726,-0.001020955556494445,0.0028577599830883005,no-supported-increment,no-supported-increment
B1_design,empirical_fisher_trace,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,0.007833334706098647,0.03577863577863578,0.852,,,0.0020181862621843193,0.0013632765071438543,0.000654909755040465,,,0.3245041190259835,no-supported-increment,199,199,-0.4862581708787271,0.6975956617784931,-0.002592213542422867,0.0027999544720516026,no-supported-increment,no-supported-increment
