baseline,metric,nuisance_models_estimated,minimum_refit_delta_mse_ci_low,maximum_residual_permutation_p,both_refit_lower_positive,consensus_status
B1_design,prediction_confidence,2,-0.0004964270545972218,0.001,False,no_consensus_increment
B1_design,prediction_entropy,2,-0.0002454515307004356,0.271,False,no_consensus_increment
B1_design,prediction_margin,2,-0.000258205914366579,0.001,False,no_consensus_increment
B1_design,gradient_norm,2,-0.002419299519510807,0.967,False,no_consensus_increment
B1_design,empirical_fisher_trace,2,-0.002592213542422867,0.852,False,no_consensus_increment
B1_design,fim_erank,2,-0.0025078619028391386,0.606,False,no_consensus_increment
B1_design,fim_norm,2,-0.0025078619028391386,0.606,False,no_consensus_increment
B1_design,feature_erank,2,-0.006131448601545379,0.916,False,no_consensus_increment
B1_design,parameter_l2,2,-0.004459398095205216,0.42,False,no_consensus_increment
B1_design,distance_from_initialization_l2,2,-0.005032753056846805,0.086,False,no_consensus_increment
B1_design,relative_distance_from_initialization,2,-0.006345517094098891,0.736,False,no_consensus_increment
B1_design,update_to_weight_ratio,2,-0.004582171942997753,0.629,False,no_consensus_increment
B1_design,sharpness_random_perturbation,2,-0.0018036635510690472,0.265,False,no_consensus_increment
B1_design,random_metric,2,-0.0010311432945697176,0.932,False,no_consensus_increment
B2_training_state,prediction_confidence,2,-0.0009418331004217392,0.019,False,no_consensus_increment
B2_training_state,prediction_entropy,2,-0.001138440784571725,0.081,False,no_consensus_increment
B2_training_state,prediction_margin,2,-0.0014776948724926596,0.149,False,no_consensus_increment
B2_training_state,gradient_norm,2,-0.0033185263974358707,0.003,False,no_consensus_increment
B2_training_state,empirical_fisher_trace,2,-0.006352326915673135,0.001,False,no_consensus_increment
B2_training_state,fim_erank,2,-0.003501554247865692,0.005,False,no_consensus_increment
B2_training_state,fim_norm,2,-0.003501554247865692,0.005,False,no_consensus_increment
B2_training_state,feature_erank,2,-0.007380187124177258,0.732,False,no_consensus_increment
B2_training_state,parameter_l2,2,-0.00633769273304293,0.985,False,no_consensus_increment
B2_training_state,distance_from_initialization_l2,2,-0.004371011878050608,0.125,False,no_consensus_increment
B2_training_state,relative_distance_from_initialization,2,-0.0037059720931919373,0.938,False,no_consensus_increment
B2_training_state,update_to_weight_ratio,2,-0.003728859104087334,0.189,False,no_consensus_increment
B2_training_state,sharpness_random_perturbation,2,-0.002092031925087791,0.195,False,no_consensus_increment
B2_training_state,random_metric,2,-0.0018970886459427905,0.359,False,no_consensus_increment
B3_validation,prediction_confidence,2,-0.002388582268070151,0.901,False,no_consensus_increment
B3_validation,prediction_entropy,2,-0.0032306998220206495,0.051,False,no_consensus_increment
B3_validation,prediction_margin,2,-0.0018327565105190635,0.912,False,no_consensus_increment
B3_validation,gradient_norm,2,-0.006763352474194387,0.355,False,no_consensus_increment
B3_validation,empirical_fisher_trace,2,-0.009153237673256967,0.948,False,no_consensus_increment
B3_validation,fim_erank,2,-0.005099151950473499,0.002,False,no_consensus_increment
B3_validation,fim_norm,2,-0.005099151950473499,0.002,False,no_consensus_increment
B3_validation,feature_erank,2,-0.008468332649032727,0.843,False,no_consensus_increment
B3_validation,parameter_l2,2,-0.006930399760689711,0.765,False,no_consensus_increment
B3_validation,distance_from_initialization_l2,2,-0.006494120442445952,0.397,False,no_consensus_increment
B3_validation,relative_distance_from_initialization,2,-0.004153899182673396,0.659,False,no_consensus_increment
B3_validation,update_to_weight_ratio,2,-0.004664725942450083,0.293,False,no_consensus_increment
B3_validation,sharpness_random_perturbation,2,-0.003802048639574658,0.819,False,no_consensus_increment
B3_validation,random_metric,2,-0.0015423754024229683,0.846,False,no_consensus_increment
