baseline,metric,nuisance_models_estimated,minimum_refit_delta_mse_ci_low,maximum_residual_permutation_p,both_refit_lower_positive,consensus_status
B1_design,prediction_confidence,2,-0.00048193649209572845,0.001,False,no_consensus_increment
B1_design,prediction_entropy,2,-0.00029356341721249946,0.271,False,no_consensus_increment
B1_design,prediction_margin,2,-0.0005177438835426859,0.001,False,no_consensus_increment
B1_design,gradient_norm,2,-0.0031918871866848486,0.967,False,no_consensus_increment
B1_design,empirical_fisher_trace,2,-0.003670459896471866,0.852,False,no_consensus_increment
B1_design,fim_erank,2,-0.0032569804059166922,0.606,False,no_consensus_increment
B1_design,fim_norm,2,-0.0032569804059166922,0.606,False,no_consensus_increment
B1_design,feature_erank,2,-0.005279830586338472,0.916,False,no_consensus_increment
B1_design,parameter_l2,2,-0.005450705771628328,0.42,False,no_consensus_increment
B1_design,distance_from_initialization_l2,2,-0.0035886184483524684,0.086,False,no_consensus_increment
B1_design,relative_distance_from_initialization,2,-0.005032735815167494,0.736,False,no_consensus_increment
B1_design,update_to_weight_ratio,2,-0.0053730348777310515,0.629,False,no_consensus_increment
B1_design,sharpness_random_perturbation,2,-0.0016834008986043873,0.265,False,no_consensus_increment
B1_design,random_metric,2,-0.0012078484539929067,0.932,False,no_consensus_increment
