baseline,metric,nuisance_model,status,configuration_units,residual_r,delta_mse,relative_mse_improvement
B3_validation,prediction_confidence,polynomial_ridge,descriptive_underpowered,36,0.22187902187902186,1.1623450831332112e-05,0.013558139246306134
B3_validation,prediction_confidence,polynomial_ridge_interactions,descriptive_underpowered,36,-0.15675675675675677,4.9464974526627404e-05,0.056492111888375586
B3_validation,prediction_entropy,polynomial_ridge,descriptive_underpowered,36,0.17915057915057916,0.00010520862979967462,0.12272028964857629
B3_validation,prediction_entropy,polynomial_ridge_interactions,descriptive_underpowered,36,0.27850707850707856,2.077879885153456e-05,0.02373069512034326
B3_validation,prediction_margin,polynomial_ridge,descriptive_underpowered,36,0.216988416988417,-1.1708730835802931e-05,-0.013657613850906707
B3_validation,prediction_margin,polynomial_ridge_interactions,descriptive_underpowered,36,-0.2574002574002574,5.19764056611489e-05,0.059360324194336955
B3_validation,gradient_norm,polynomial_ridge,descriptive_underpowered,36,-0.24350064350064354,-1.2543314580509379e-05,-0.014631111548589731
B3_validation,gradient_norm,polynomial_ridge_interactions,descriptive_underpowered,36,0.209009009009009,4.279996285137333e-05,0.04888024937557679
B3_validation,empirical_fisher_trace,polynomial_ridge,descriptive_underpowered,36,-0.13436293436293437,8.813985180914589e-06,0.010281046492285393
B3_validation,empirical_fisher_trace,polynomial_ridge_interactions,descriptive_underpowered,36,0.13564993564993566,1.5375282685157923e-05,0.017559539817366736
B3_validation,fim_erank,polynomial_ridge,descriptive_underpowered,36,-0.47438867438867444,5.408919570803767e-05,0.06309217957488732
B3_validation,fim_erank,polynomial_ridge_interactions,descriptive_underpowered,36,-0.5935649935649936,0.00015116915211465306,0.17264467913017462
B3_validation,fim_norm,polynomial_ridge,descriptive_underpowered,36,-0.47438867438867444,5.408919570803767e-05,0.06309217957488732
B3_validation,fim_norm,polynomial_ridge_interactions,descriptive_underpowered,36,-0.5935649935649936,0.00015116915211465306,0.17264467913017462
B3_validation,feature_erank,polynomial_ridge,descriptive_underpowered,36,0.10064350064350065,4.711277292549149e-05,0.05495455221280526
B3_validation,feature_erank,polynomial_ridge_interactions,descriptive_underpowered,36,0.31145431145431146,-7.994340975499455e-05,-0.09130040178604187
B3_validation,parameter_l2,polynomial_ridge,descriptive_underpowered,36,-0.364993564993565,-7.211031698715366e-05,-0.08411286226390448
B3_validation,parameter_l2,polynomial_ridge_interactions,descriptive_underpowered,36,-0.2738738738738739,-0.0002703421926354715,-0.3087477865027645
B3_validation,distance_from_initialization_l2,polynomial_ridge,descriptive_underpowered,36,-0.11248391248391248,-2.370735885212985e-05,-0.02765337739571162
B3_validation,distance_from_initialization_l2,polynomial_ridge_interactions,descriptive_underpowered,36,0.10012870012870013,-0.00012635689624771222,-0.1443075224237928
B3_validation,relative_distance_from_initialization,polynomial_ridge,descriptive_underpowered,36,0.4808236808236809,-7.285472818515293e-05,-0.08498117846581738
B3_validation,relative_distance_from_initialization,polynomial_ridge_interactions,descriptive_underpowered,36,0.45559845559845563,-4.065219539252558e-05,-0.04642736385897503
B3_validation,update_to_weight_ratio,polynomial_ridge,descriptive_underpowered,36,0.1722007722007722,-0.00024103655851759234,-0.2811563683843967
B3_validation,update_to_weight_ratio,polynomial_ridge_interactions,descriptive_underpowered,36,0.37142857142857144,-0.0001260439842206898,-0.1439501572090942
B3_validation,sharpness_random_perturbation,polynomial_ridge,descriptive_underpowered,36,-0.10862290862290863,-1.3506284671371371e-05,-0.015754365113421015
B3_validation,sharpness_random_perturbation,polynomial_ridge_interactions,descriptive_underpowered,36,0.4051480051480052,-8.657757083939724e-05,-0.09887703098381571
B3_validation,random_metric,polynomial_ridge,descriptive_underpowered,36,0.22419562419562422,-7.92064771765337e-05,-0.09239015696388837
B3_validation,random_metric,polynomial_ridge_interactions,descriptive_underpowered,36,0.40051480051480054,-0.00021174837759870317,-0.24182996461564207
