baseline,metric,nuisance_model,status,target,controls,group_col,permutation_block_col,n,independence_units,n_splits,polynomial_degree,run_residual_r,residual_r,residual_p,residual_ci_low,residual_ci_high,baseline_mse,augmented_mse,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,increment_classification,refit_bootstrap_draws,refit_bootstrap_successful,refit_residual_ci_low,refit_residual_ci_high,refit_delta_mse_ci_low,refit_delta_mse_ci_high,refit_predictive_classification,refit_increment_classification
B1_design,prediction_confidence,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.492792905890294,-0.7245817245817247,0.001,,,0.001956618602419093,0.0012709739836707457,0.0006856446187483475,,,0.3504232341963023,residual-dependence-only,199,199,-0.931556585554268,-0.1792545786633478,-0.0004964270546158144,0.003957120419573182,no-supported-increment,residual-dependence-only
B1_design,prediction_confidence,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.4474113620170503,-0.6496782496782497,0.001,,,0.002018186262226449,0.001418378699593491,0.0005998075626329577,,,0.2972012910103026,residual-dependence-only,199,199,-0.9779843738178481,0.10488940130646292,-0.00012233714413990423,0.004078053768753906,no-supported-increment,residual-dependence-only
B1_design,prediction_entropy,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,0.31091710290236546,0.17940797940797942,0.271,,,0.001956618602419093,0.0016496719680789,0.0003069466343401932,,,0.15687606872422422,no-supported-increment,199,199,-0.2774207217027139,0.8506417775279574,-0.00024545153067421707,0.0031635608873940846,no-supported-increment,no-supported-increment
B1_design,prediction_entropy,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,0.33641904971600256,0.4880308880308881,0.003,,,0.002018186262226449,0.0018209733351250324,0.00019721292710141647,,,0.09771790185701322,residual-dependence-only,199,199,-0.0750375917004637,0.9182824771469033,-0.00022212997112382507,0.002558795465463897,no-supported-increment,residual-dependence-only
B1_design,prediction_margin,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.49199603686414545,-0.656885456885457,0.001,,,0.001956618602419093,0.0012552759458528396,0.0007013426565662536,,,0.3584462785435744,residual-dependence-only,199,199,-0.8967158049747493,-0.04720191059224128,-0.00025820591437154957,0.0038319642980308715,no-supported-increment,residual-dependence-only
B1_design,prediction_margin,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.45946322729144295,-0.6357786357786358,0.001,,,0.002018186262226449,0.0014839976235864524,0.0005341886386399965,,,0.2646874813480711,residual-dependence-only,199,199,-0.961071286115737,0.33583889242017656,-0.00012781226095115051,0.003984869923156675,no-supported-increment,residual-dependence-only
B1_design,gradient_norm,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,0.08507176295081409,0.09317889317889319,0.568,,,0.001956618602419093,0.0016906465597151612,0.0002659720427039319,,,0.13593453643704176,no-supported-increment,199,199,-0.47777491630182845,0.5975390985244766,-0.0018587731660846731,0.0020853259872222907,no-supported-increment,no-supported-increment
B1_design,gradient_norm,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,0.04102215081941444,0.009266409266409266,0.967,,,0.002018186262226449,0.0013469282292845792,0.0006712580329418696,,,0.33260459924117336,no-supported-increment,199,199,-0.5396778422389062,0.7295261001930213,-0.0024192995195003596,0.002895130057663816,no-supported-increment,no-supported-increment
B1_design,empirical_fisher_trace,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,0.02644156942849398,0.06846846846846848,0.677,,,0.001956618602419093,0.0014616193915476794,0.0004949992108714137,,,0.25298707180817687,no-supported-increment,199,199,-0.5160123528191884,0.6318074692549257,-0.0010209555565062417,0.0028577599831231303,no-supported-increment,no-supported-increment
B1_design,empirical_fisher_trace,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,0.007772635119265269,0.03577863577863578,0.852,,,0.002018186262226449,0.0013632765071514795,0.0006549097550749693,,,0.32450411903630616,no-supported-increment,199,199,-0.4861061399871598,0.6975956617784931,-0.002592213542432042,0.0027999544720332795,no-supported-increment,no-supported-increment
