baseline,metric,nuisance_models_estimated,minimum_refit_delta_mse_ci_low,maximum_residual_permutation_p,both_refit_lower_positive,consensus_status
B1_design,prediction_confidence,2,-0.0004964270546158144,0.001,False,no_consensus_increment
B1_design,prediction_entropy,2,-0.00024545153067421707,0.271,False,no_consensus_increment
B1_design,prediction_margin,2,-0.00025820591437154957,0.001,False,no_consensus_increment
B1_design,gradient_norm,2,-0.0024192995195003596,0.967,False,no_consensus_increment
B1_design,empirical_fisher_trace,2,-0.002592213542432042,0.852,False,no_consensus_increment
B1_design,fim_erank,2,-0.002507861902893349,0.606,False,no_consensus_increment
B1_design,fim_norm,2,-0.002507861902893349,0.606,False,no_consensus_increment
B1_design,feature_erank,2,-0.006131448601466138,0.916,False,no_consensus_increment
B1_design,parameter_l2,2,-0.004459398095199471,0.42,False,no_consensus_increment
B1_design,distance_from_initialization_l2,2,-0.005032753056910458,0.086,False,no_consensus_increment
B1_design,relative_distance_from_initialization,2,-0.006345517094159279,0.736,False,no_consensus_increment
B1_design,update_to_weight_ratio,2,-0.004582171942965513,0.629,False,no_consensus_increment
B1_design,sharpness_random_perturbation,2,-0.001803663551060074,0.265,False,no_consensus_increment
B1_design,random_metric,2,-0.0010311432946138403,0.932,False,no_consensus_increment
B2_training_state,prediction_confidence,2,-0.000941833100424177,0.019,False,no_consensus_increment
B2_training_state,prediction_entropy,2,-0.0011384407846478633,0.081,False,no_consensus_increment
B2_training_state,prediction_margin,2,-0.0014776948725732325,0.149,False,no_consensus_increment
B2_training_state,gradient_norm,2,-0.0033185263973817183,0.003,False,no_consensus_increment
B2_training_state,empirical_fisher_trace,2,-0.006352326915542642,0.001,False,no_consensus_increment
B2_training_state,fim_erank,2,-0.003501554247968685,0.005,False,no_consensus_increment
B2_training_state,fim_norm,2,-0.003501554247968685,0.005,False,no_consensus_increment
B2_training_state,feature_erank,2,-0.007380187124318134,0.732,False,no_consensus_increment
B2_training_state,parameter_l2,2,-0.006337692733013074,0.985,False,no_consensus_increment
B2_training_state,distance_from_initialization_l2,2,-0.004371011878160727,0.125,False,no_consensus_increment
B2_training_state,relative_distance_from_initialization,2,-0.0037059720932579735,0.938,False,no_consensus_increment
B2_training_state,update_to_weight_ratio,2,-0.0037288591039924867,0.189,False,no_consensus_increment
B2_training_state,sharpness_random_perturbation,2,-0.0020920319250148883,0.195,False,no_consensus_increment
B2_training_state,random_metric,2,-0.0018970886459412446,0.359,False,no_consensus_increment
B3_validation,prediction_confidence,2,-0.0023885822679951384,0.901,False,no_consensus_increment
B3_validation,prediction_entropy,2,-0.0032306998219988736,0.051,False,no_consensus_increment
B3_validation,prediction_margin,2,-0.0018327565104521843,0.912,False,no_consensus_increment
B3_validation,gradient_norm,2,-0.006763352473972661,0.355,False,no_consensus_increment
B3_validation,empirical_fisher_trace,2,-0.009153237673025706,0.948,False,no_consensus_increment
B3_validation,fim_erank,2,-0.005099151950609862,0.002,False,no_consensus_increment
B3_validation,fim_norm,2,-0.005099151950609862,0.002,False,no_consensus_increment
B3_validation,feature_erank,2,-0.008468332649367364,0.843,False,no_consensus_increment
B3_validation,parameter_l2,2,-0.00693039976065492,0.765,False,no_consensus_increment
B3_validation,distance_from_initialization_l2,2,-0.0064941204426395656,0.397,False,no_consensus_increment
B3_validation,relative_distance_from_initialization,2,-0.004153899182651075,0.659,False,no_consensus_increment
B3_validation,update_to_weight_ratio,2,-0.0046647259424225825,0.293,False,no_consensus_increment
B3_validation,sharpness_random_perturbation,2,-0.003802048639538269,0.819,False,no_consensus_increment
B3_validation,random_metric,2,-0.0015423754024015213,0.846,False,no_consensus_increment
