reliability_tier,quantile,source_metric,icc,baseline,beta,repetition,csv,refit_bootstrap,permutations,simulation_seed,analysis_seed,nuisance_model,status,delta_mse,residual_p,refit_delta_mse_ci_low,refit_delta_mse_ci_high,predictive_supported,joint_supported
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,0,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,320269729,3020269729,polynomial_ridge,estimated,-0.0006061390299331769,0.26,-0.0024226452435311303,0.001048250265351831,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,0,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,320269729,3020269729,polynomial_ridge_interactions,estimated,-0.0011050212737500386,0.49,-0.019138825440125806,0.0006466665045477077,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,1,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,320369732,3021269732,polynomial_ridge,estimated,-0.00046751418235408673,0.65,-0.0012518718517712938,0.0011589772915096019,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,1,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,320369732,3021269732,polynomial_ridge_interactions,estimated,-0.00036660726274512787,0.97,-0.026701534156056722,0.000624040479741017,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,2,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,320469735,3022269735,polynomial_ridge,estimated,-0.0003084364008198294,0.02,-0.002247970880732697,0.001433873793834454,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,2,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,320469735,3022269735,polynomial_ridge_interactions,estimated,-0.0021984095000333135,0.56,-0.02182989169354595,0.0006310629748643043,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,3,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,320569738,3023269738,polynomial_ridge,estimated,-0.00016391712650288734,0.65,-0.0018072653432084681,0.0013015311426858949,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,3,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,320569738,3023269738,polynomial_ridge_interactions,estimated,-0.0010495335591118363,0.01,-0.02306249014505921,0.00128475633224962,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,4,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,320669741,3024269741,polynomial_ridge,estimated,-0.0001134663172541483,0.03,-0.002339789144481527,0.001110182299287733,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,4,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,320669741,3024269741,polynomial_ridge_interactions,estimated,-0.0002600396476299873,0.19,-0.019553911511915788,0.0015697880239080387,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,5,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,320769744,3025269744,polynomial_ridge,estimated,-0.0002751701801528741,0.5,-0.0017964814374789037,0.0013965991680116722,False,False
