reliability_tier,quantile,source_metric,icc,baseline,beta,repetition,csv,refit_bootstrap,permutations,degree,simulation_seed,analysis_seed,nuisance_model,status,delta_mse,residual_p,refit_delta_mse_ci_low,refit_delta_mse_ci_high,predictive_supported,joint_supported
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,0,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,320269729,3020269729,polynomial_ridge,estimated,-0.00023429131126292166,0.26,-0.0010128061372809262,0.0010763801509749236,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,0,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,320269729,3020269729,polynomial_ridge_interactions,estimated,-0.0011049303971925155,0.49,-0.019092118938125766,0.0006422814492040172,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,1,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,320369732,3021269732,polynomial_ridge,estimated,-0.0007243973029865806,0.65,-0.0006982310713268174,0.0009310850058440205,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,1,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,320369732,3021269732,polynomial_ridge_interactions,estimated,-0.0003657613428798322,0.97,-0.026667563330157247,0.0006212761587141018,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,2,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,320469735,3022269735,polynomial_ridge,estimated,3.283546861539144e-05,0.02,-0.0010921442475662518,0.000942328006340892,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,2,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,320469735,3022269735,polynomial_ridge_interactions,estimated,-0.0021976786343700493,0.56,-0.02177176351885556,0.0006313140686519155,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,3,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,320569738,3023269738,polynomial_ridge,estimated,-0.0002460298050513067,0.65,-0.001060466037339436,0.0006708232113737651,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,3,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,320569738,3023269738,polynomial_ridge_interactions,estimated,-0.00104935670573934,0.01,-0.02278335290028467,0.001287033249017478,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,4,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,320669741,3024269741,polynomial_ridge,estimated,-9.55441859898324e-05,0.03,-0.0010588309256711963,0.001014825083464899,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,4,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,320669741,3024269741,polynomial_ridge_interactions,estimated,-0.00026014074736873814,0.19,-0.01955018204594555,0.0015705227908217043,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,5,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,320769744,3025269744,polynomial_ridge,estimated,-0.0001516802868268231,0.5,-0.0012241066100798575,0.0008124860417315102,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,5,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,320769744,3025269744,polynomial_ridge_interactions,estimated,-0.0006107878618373038,0.01,-0.02052804051815023,0.0009394866976005205,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,6,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,320869747,3026269747,polynomial_ridge,estimated,-2.6641728367981154e-05,0.39,-0.0008056206335892386,0.0010617229188019082,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,6,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,320869747,3026269747,polynomial_ridge_interactions,estimated,-0.0005447946422036856,0.99,-0.024510762250561702,0.0013869575554581789,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,7,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,320969750,3027269750,polynomial_ridge,estimated,1.1655370688227248e-05,0.84,-0.0016852294515101946,0.0005627962810746716,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,7,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,320969750,3027269750,polynomial_ridge_interactions,estimated,-0.0010164658452009845,0.3,-0.025677549375450578,0.0012256851506193954,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,8,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321069753,3028269753,polynomial_ridge,estimated,-0.0001711670929037284,0.21,-0.0017474057984454183,0.0009006821489298281,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,8,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321069753,3028269753,polynomial_ridge_interactions,estimated,-0.0001069067476244293,0.56,-0.024528892204427222,0.0014979020309795659,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,9,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321169756,3029269756,polynomial_ridge,estimated,-0.00036627929854370425,0.05,-0.0009029175498809601,0.0009532455457843418,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,9,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321169756,3029269756,polynomial_ridge_interactions,estimated,-0.0004671140684561147,0.3,-0.028105647361432846,0.000618291423502728,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,10,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321269759,3030269759,polynomial_ridge,estimated,-0.00014338756661728307,0.27,-0.0011817409132243999,0.0006405528009589655,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,10,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321269759,3030269759,polynomial_ridge_interactions,estimated,-0.0005559527631906281,0.08,-0.03169213737494037,0.0013306658289762136,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,11,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321369762,3031269762,polynomial_ridge,estimated,-0.00021709034013041978,0.53,-0.0012300579146147996,0.0007849036261628553,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,11,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321369762,3031269762,polynomial_ridge_interactions,estimated,-0.0005597632166805021,0.09,-0.0224976036592046,0.0018706999811999344,False,False
