scenario,expected_profile,expected_signal,n,polynomial_degree,nuisance_model,repetition,seed,raw_r,raw_p,partial_r,partial_p,legacy_partial_reject,crossfit_residual_r,crossfit_residual_p,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_residual_reject,positive_delta_mse,delta_ci_positive,joint_increment_decision,profile_pass
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,0,21265452,-0.12309630963096307,0.22241434781550112,-0.04981986405488482,0.62433902023031,False,-0.0706766917293233,0.758,-0.0010106576441310626,-0.0022051396726720353,-0.00013888566662563132,-0.040223268699920635,False,False,False,False,True
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,1,21265453,-0.018313831383138312,0.8564845598891963,0.024295217808359523,0.8113385974964664,False,-0.08872180451127819,0.734,-0.0010574571627523337,-0.0022301025603472095,4.041570161917223e-06,-0.05228553759697596,False,False,False,False,True
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,2,21265454,0.09362136213621361,0.3541965594353118,0.18961753702497386,0.06013511577354506,False,0.019548872180451125,0.936,0.0009183783081532851,-0.0007920155044302249,0.0026739218401339256,0.03657927890999431,False,True,False,False,True
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,3,21265455,-0.15967596759675967,0.11253888688350741,-0.11285017659409594,0.26607724389433995,False,-0.5203007518796992,0.022,-0.0002166374603229798,-0.0020087916755940995,0.001241736702921332,-0.008205580399343297,True,False,False,False,False
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,4,21265456,-0.06136213621362136,0.544197026940863,-0.002742326511610321,0.9785081359391724,False,-0.03157894736842105,0.896,-0.0007137823874209387,-0.0018949882099707654,0.00029248568015797236,-0.03531450420359424,False,False,False,False,True
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,5,21265457,0.10834683468346833,0.2832671332355324,-0.020215232476439957,0.8425719035926997,False,0.15488721804511277,0.504,-0.0014769305375895957,-0.0027970120783495055,-9.794961960543261e-05,-0.06412108805743347,False,False,False,False,False
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,6,21265458,0.09612961296129613,0.3413932741640396,0.05808283656520713,0.5679591800582895,False,0.11879699248120301,0.612,-0.0006087591500505279,-0.0012939214859007543,-1.82625070805599e-05,-0.02874422044807793,False,False,False,False,True
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,7,21265459,-0.045616561656165615,0.6522308644484713,-0.062122445566755016,0.5412983464110203,False,-0.12330827067669171,0.608,-0.000675798872458621,-0.0014947132015533631,1.0654829183311414e-05,-0.036641038228762086,False,False,False,False,True
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,8,21265460,0.17046504650465044,0.08995153638738179,0.0730243597505576,0.47256291971014114,False,0.3639097744360902,0.1,-0.0006311942430729037,-0.0016965502563469034,0.0003500043132159247,-0.026169150758130876,False,False,False,False,False
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,9,21265461,0.14678667866786677,0.14502849130600223,0.0863656755432593,0.39532301436638373,False,0.21954887218045113,0.378,0.0002807643499534024,-0.0008325922674306762,0.0014422347034652758,0.012970092643557817,False,True,False,False,False
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,10,21265462,0.024962496249624957,0.8052758812538446,0.12457890428040272,0.21922384789557064,False,0.16541353383458643,0.486,0.0008210815926442093,-0.0006533046286519096,0.0021965412636795988,0.029009564251870006,False,True,False,False,False
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,11,21265463,-0.20907290729072908,0.03683633171560866,-0.0716356996696101,0.48104679522696103,False,-0.051127819548872175,0.818,-7.064011618558921e-05,-0.0008241387715987951,0.0005360374200623492,-0.0036001743479188116,False,False,False,False,False
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,12,21265464,0.086000600060006,0.39489639666795207,-0.0904092890078827,0.3734869156354935,False,-0.29624060150375936,0.218,0.00037303842061166617,-0.0013620147124686116,0.0017642881266580765,0.014036277414250186,False,True,False,False,False
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,13,21265465,-0.03042304230423042,0.7638148225331994,0.05837419377830638,0.5660157467436863,False,0.13984962406015036,0.518,-0.0003540468039027883,-0.0012972929996004053,0.00048510899411344287,-0.014304004340740098,False,False,False,False,True
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,14,21265466,-0.1836423642364236,0.06741119995434598,-0.03539406123617356,0.727988227592336,False,-0.1744360902255639,0.476,-0.0013819236042617207,-0.002575521957816632,-0.00030458754897446033,-0.05122119127234096,False,False,False,False,False
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,15,21265467,0.11066306630663066,0.27304021645247545,-0.05344726589699002,0.5992944017929251,False,-0.03609022556390977,0.876,-0.0004247762941454458,-0.0009843736731936813,0.0001027897338059692,-0.020111703955901797,False,False,False,False,True
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,16,21265468,-0.17057305730573055,0.08974509928331086,-0.03335165513206084,0.743122269095421,False,-0.11729323308270674,0.62,-0.0010384694388974741,-0.002077428734072075,-0.0002668502606610532,-0.051889007889954826,False,False,False,False,False
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,17,21265469,0.25110111011101105,0.01173702667032586,0.2325256811135958,0.020554995813663865,True,0.24661654135338343,0.288,0.0012483395934282937,-0.00214275775027912,0.004206813514517535,0.048008118807974856,False,True,False,False,False
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,18,21265470,-0.06390639063906389,0.5275989655082209,-0.07031934830844667,0.4891636788093552,False,-0.15789473684210525,0.478,-0.0006902032511406399,-0.0021705913141001993,0.0007105765207806669,-0.0293045136970469,False,False,False,False,False
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,19,21265471,0.07774377437743775,0.441995379030029,0.1749394307765355,0.08329114614143339,False,0.4300751879699248,0.048,0.0008665694004296766,-0.000516882042726568,0.0023445548351177753,0.03661519466042889,True,True,False,False,False
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,20,21265472,-0.15608760876087607,0.12095599381763468,-0.10047702902354107,0.32239710209409445,False,-0.1744360902255639,0.47,6.04002057431885e-08,-0.0005799129587708734,0.0005015308565153298,2.332410497575662e-06,False,True,False,False,False
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,21,21265473,0.07044704470447044,0.48612858035570217,-0.08981306776741411,0.37665956629713193,False,-0.17744360902255638,0.424,9.446505507521019e-06,-0.0007653298529652951,0.0008358717495675917,0.00042749583527827435,False,True,False,False,False
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,22,21265474,-0.14816681668166815,0.14124426134508203,0.05619055145398593,0.58065712125555,False,0.15939849624060148,0.54,-0.00023897393989826508,-0.0006965088760925258,0.00020991522797839926,-0.015577052426725399,False,False,False,False,False
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,23,21265475,0.11206720672067207,0.2669630380295626,-0.02849355128551559,0.7795055118522725,False,0.13082706766917293,0.588,-0.0006325022918945433,-0.001092778089304118,-0.00020914628181106117,-0.03898595943421491,False,False,False,False,True
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,24,21265476,-0.20434443444344433,0.04141756619573801,-0.10786870308656124,0.2878936684677633,False,-0.30977443609022554,0.174,0.0002943793149305027,-0.0006501457001475717,0.0013055203723392156,0.016430397360124506,False,True,False,False,False
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,25,21265477,0.050633063306330627,0.6168737889683762,0.015377925104175667,0.8799172639380518,False,-0.2992481203007519,0.2,-0.0005190913268836271,-0.0009978260746049893,-4.0264755400293315e-05,-0.02772668423777998,False,False,False,False,False
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,26,21265478,0.16991299129912987,0.09101254308684315,0.0666472332701521,0.5121851508152018,False,0.2827067669172932,0.224,-0.00041908504387819234,-0.001388145884545713,0.0004061644148613344,-0.015875877424717192,False,False,False,False,False
null_metric,no-increment,False,100,4,polynomial_ridge_interactions,27,21265479,0.1373297329732973,0.17304122382278017,0.14969277078213736,0.13917919615196792,False,0.29323308270676685,0.24,-0.0002083434529774053,-0.0013171016811531159,0.0008082874178977698,-0.009757948726810394,False,False,False,False,False
