study_id,scope,baseline_level,metric,target,controls,nuisance_model,n,independence_units,raw_r,partial_r,legacy_classification,crossfit_run_residual_r,crossfit_residual_r,crossfit_permutation_p,crossfit_residual_ci_low,crossfit_residual_ci_high,baseline_mse,augmented_mse,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_permutation_q,increment_classification
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.dist_spec_init,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5799610723043086,0.5304876742408131,survives,0.4018088781459097,0.38968013368013366,0.001,0.32808186860835287,0.45235908108628686,0.017319871252243418,0.006671480914238124,0.010648390338005295,0.009469503562566565,0.011780596860939801,0.6148077074548706,0.0010666666666666667,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.dist_spec_init_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5891697483643795,0.5805752180312329,survives,0.4682200593945126,0.4629475509475509,0.001,0.4013121849029376,0.5203308840038678,0.01738556068847316,0.009586243276676669,0.007799317411796493,0.006477975212810118,0.008985966674630997,0.44860890894174815,0.0010666666666666667,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.fro_dist,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6552146470449223,0.6354290373579176,survives,0.5740935315672542,0.57998697998698,0.001,0.5280710941841145,0.6303048350610487,0.01739165678661602,0.010022327727376806,0.007369329059239215,0.0062199629449199234,0.008467448542892952,0.4237278339640637,0.0010666666666666667,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.fro_over_spec,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.38230773757413766,-0.37037213877157615,reverse-inversion,-0.17836234724854086,-0.16233486633486632,0.001,-0.22591508825472872,-0.09933223560346938,0.017428668564956843,0.016652045736963394,0.0007766228279934492,0.0002456778663026001,0.0013345692872009762,0.04456007784524488,0.0010666666666666667,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.fro_over_spec_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.37249170936121434,-0.34263785252830076,reverse-inversion,-0.15341225500927488,-0.14253572253572255,0.001,-0.20364605644360045,-0.07935310766786108,0.01737422135510941,0.01696090973047095,0.00041331162463845855,-5.446403825987862e-05,0.0008695777840503136,0.023788785476530832,0.0010666666666666667,residual-dependence-only
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.inverse_margin,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6156671101206138,0.056217168058167,washout,0.07986780756267367,0.08953484953484954,0.002,0.02573761855306742,0.14968936386773113,0.01742562684302873,0.017451516757792395,-2.5889914763665284e-05,-0.00020213702498731248,0.0001516528374855685,-0.0014857379305136884,0.002064516129032258,residual-dependence-only
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_prod_of_fro,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.23942058056682555,0.19565471037418314,weak-or-mixed,0.33056088990120747,0.33836087036087037,0.001,0.2801841454621602,0.3956508717750419,0.01741934178038285,0.012075907070426137,0.0053434347099567125,0.004151972303771127,0.006646172023095844,0.3067529633050964,0.0010666666666666667,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_prod_of_fro_over_margin,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.23946292407667238,0.2114498004913294,sign-inversion,0.3427681978123994,0.35013815013815014,0.001,0.2947854339425573,0.4032230161133732,0.01781459452373451,0.012477275293411918,0.005337319230322593,0.004249224957157243,0.006455937700766136,0.2996037447392723,0.0010666666666666667,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_prod_of_spec,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2614898213947085,0.5102801520841281,sign-inversion,0.5014659320706542,0.5030177150177151,0.001,0.4575115882378183,0.5437013226804419,0.017502352147752753,0.007976357747671865,0.009525994400080888,0.008469765774934702,0.010547478895567359,0.5442693827471639,0.0010666666666666667,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_prod_of_spec_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.3121074388097063,0.32077033467739796,sign-inversion,0.33624053735283427,0.33430570630570633,0.001,0.28081247869794673,0.382411315406216,0.01756939939532906,0.007870856852651523,0.009698542542677538,0.00860607380277844,0.010838400347895386,0.5520133229628759,0.0010666666666666667,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_prod_of_spec_over_margin,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2650638733199442,0.512359675662501,sign-inversion,0.4979065317451572,0.4980339060339061,0.001,0.45331583292304434,0.5413586395845195,0.017521891165337297,0.008297325898752884,0.009224565266584413,0.008210597184599046,0.010263235179631342,0.5264594546068704,0.0010666666666666667,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_prod_of_spec_over_margin_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.3148149162460588,0.3261168698114288,sign-inversion,0.3433206370180226,0.33965597165597167,0.001,0.28473613780327534,0.390273428281139,0.017462886124780596,0.008440647267434325,0.00902223885734627,0.007940882159415777,0.010116317140666136,0.5166522184751191,0.0010666666666666667,increment-supported
