hyperparameter,metric,environments,mean_sign_error,p90_sign_error,max_sign_error,study_id,scope,baseline_level,target,controls,nuisance_model,n,independence_units,raw_r,partial_r,legacy_classification,crossfit_run_residual_r,crossfit_residual_r,crossfit_permutation_p,crossfit_residual_ci_low,crossfit_residual_ci_high,baseline_mse,augmented_mse,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_permutation_q,increment_classification,source_mean_rank,mbe_abs_residual_rank,rank_gap
all,complexity.pacbayes_orig,9242,0.0971774235772012,0.36,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6457030913061134,0.6285678734083301,survives,0.5810731324631224,0.5898012858012858,0.001,0.5430746725820648,0.6373718363843257,0.0175194383092375,0.0106029392810779,0.0069164990281596,0.0059161225332021,0.0080657208515023,0.3947899987474324,0.0010666666666666,increment-supported,1.0,3.0,2.0
all,complexity.pacbayes_flatness,9242,0.1024274803213747,0.5072659243634601,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6625467610550482,0.500871120135499,survives,0.5698575968283371,0.5895783975783976,0.001,0.5465292934911753,0.6299720008815202,0.0171645536788318,0.0112142970116656,0.0059502566671661,0.0049043886459389,0.0070319633650995,0.3466595624041363,0.0010666666666666,increment-supported,2.0,4.0,2.0
all,complexity.pacbayes_init,9242,0.106247230292521,0.8194321653728341,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6927113036470601,0.6712523181580097,survives,0.6326937389599644,0.6404592644592646,0.001,0.5934482241268708,0.6859352020396391,0.0175554330851844,0.0078061665810965,0.0097492665040878,0.0085258722524124,0.0109936790229464,0.555341839576467,0.0010666666666666,increment-supported,3.0,1.0,2.0
all,complexity.path_norm_over_margin,9242,0.1217017643738542,0.99,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.4519828170074041,0.3604462620218809,survives,0.3305999060467501,0.3417025977025977,0.001,0.2852525327053155,0.3991105106373071,0.0174516430433633,0.0105281113969487,0.0069235316464145,0.005804735546547,0.0080725009411743,0.3967266365242056,0.0010666666666666,increment-supported,4.0,12.0,8.0
all,complexity.pacbayes_mag_flatness,9242,0.1261411928040567,0.5199999990706646,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.7204511403519301,0.6280605738435199,survives,0.5840966071785375,0.6305761025761026,0.001,0.5765417169395531,0.6787346788733859,0.0173384806431528,0.0088832242086758,0.008455256434477,0.0075280595923285,0.0093737612895464,0.4876584406959624,0.0010666666666666,increment-supported,5.0,2.0,3.0
all,complexity.path_norm,9242,0.1273607331962787,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.4475992855828127,0.3449670572750451,survives,0.3130708884492764,0.3244230244230244,0.001,0.2640474092189694,0.3868608096555392,0.0172006519545849,0.010604871260681,0.0065957806939038,0.0053711526582913,0.0077029037151284,0.3834610869005877,0.0010666666666666,increment-supported,6.0,17.0,11.0
all,complexity.fro_dist,9242,0.1403539329096188,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6552146470449223,0.6354290373579176,survives,0.5740935315672542,0.57998697998698,0.001,0.5280710941841145,0.6303048350610487,0.017391656786616,0.0100223277273768,0.0073693290592392,0.0062199629449199,0.0084674485428929,0.4237278339640637,0.0010666666666666,increment-supported,7.0,5.0,2.0
all,complexity.log_sum_of_fro,9242,0.1615909077395111,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5779416955322724,0.3808963327116703,survives,0.2668732974307764,0.2801169281169281,0.001,0.2249279254235419,0.3393064087705753,0.0173985519552547,0.0158489243290148,0.0015496276262398,0.0008777758031731,0.0022509285334452,0.0890664711767481,0.0010666666666666,increment-supported,8.0,19.0,11.0
all,complexity.param_norm,9242,0.1787633186264796,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5875206397347865,0.5447107586726675,survives,0.4647247866659272,0.4725559485559485,0.001,0.4130467726311199,0.5239446955060151,0.0174669816978257,0.013393199420159,0.0040737822776666,0.0031885373888738,0.0049464469697683,0.2332276032655245,0.0010666666666666,increment-supported,9.0,6.0,3.0
all,complexity.log_sum_of_fro_over_margin,9242,0.1856786240267708,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.548223564701861,0.3299114754073031,survives,0.2559033500112339,0.2681169881169881,0.001,0.2096138466106502,0.3216685931635923,0.0174598030490806,0.0160832427709115,0.0013765602781691,0.0006520246790013,0.0019896938992055,0.0788416841988157,0.0010666666666666,increment-supported,10.0,20.0,10.0
all,complexity.log_prod_of_fro_over_margin,9242,0.2985612895419191,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2394629240766723,0.2114498004913294,sign-inversion,0.3427681978123994,0.3501381501381501,0.001,0.2947854339425573,0.4032230161133732,0.0178145945237345,0.0124772752934119,0.0053373192303225,0.0042492249571572,0.0064559377007661,0.2996037447392723,0.0010666666666666,increment-supported,11.0,11.0,0.0
all,complexity.log_prod_of_fro,9242,0.3013325887147912,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2394205805668255,0.1956547103741831,weak-or-mixed,0.3305608899012074,0.3383608703608703,0.001,0.2801841454621602,0.3956508717750419,0.0174193417803828,0.0120759070704261,0.0053434347099567,0.0041519723037711,0.0066461720230958,0.3067529633050964,0.0010666666666666,increment-supported,12.0,14.0,2.0
all,complexity.log_sum_of_spec_fft,9242,0.3034099729786785,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6099080962904855,0.5221451131118255,survives,0.4067953377170185,0.3970710250710251,0.001,0.3444023400478988,0.4534353158404547,0.0174279183067514,0.0142786803071676,0.0031492379995838,0.0023296112178643,0.0040532746767277,0.1807007551994211,0.0010666666666666,increment-supported,13.0,8.0,5.0
all,complexity.fro_over_spec_fft,9242,0.3115166531408697,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.3724917093612143,-0.3426378525283007,reverse-inversion,-0.1534122550092748,-0.1425357225357225,0.001,-0.2036460564436004,-0.079353107667861,0.0173742213551094,0.0169609097304709,0.0004133116246384,-5.446403825987862e-05,0.0008695777840503,0.0237887854765308,0.0010666666666666,residual-dependence-only,14.0,22.0,8.0
all,complexity.inverse_margin,9242,0.3295665667220577,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6156671101206138,0.056217168058167,washout,0.0798678075626736,0.0895348495348495,0.002,0.0257376185530674,0.1496893638677311,0.0174256268430287,0.0174515167577923,-2.5889914763665284e-05,-0.0002021370249873,0.0001516528374855,-0.0014857379305136,0.0020645161290322,residual-dependence-only,15.0,23.0,8.0
