repetition,seed,scenario,expected_stable_increment,contains_conditional_increment,configurations,raw_spearman,raw_kendall,partial_spearman,granulated_kendall,granulated_min_axis,jiang_cmi,jiang_cmi_min_conditioning,mbe_additive_residual_r,mbe_additive_p,mbe_additive_delta,mbe_additive_delta_ci_low,mbe_additive_class,mbe_interaction_residual_r,mbe_interaction_p,mbe_interaction_delta,mbe_interaction_delta_ci_low,mbe_interaction_class
0,30260748,independent_null,False,False,27,-0.11477411477411475,-0.08831908831908834,-0.0816307265857945,0.08641975308641976,-0.1111111111111111,0.0056340370652568925,none,0.08485958485958486,0.665,-0.0011285041170302577,-0.002369234912718355,no-supported-increment,0.38095238095238093,0.05,-6.367594444301426e-05,-0.0003668368153753609,residual-dependence-only
0,30261757,design_proxy,False,False,27,0.9816849816849815,0.9088319088319089,0.5941071347490628,0.7530864197530865,0.6296296296296297,0.44550892261883723,"hp_a,hp_c",0.8772893772893773,0.001,0.007226179657190501,0.0026230363838459546,increment-supported,0.3498168498168498,0.069,0.0015554981420402986,0.0003176079758598752,predictive-improvement-only
0,30262766,interaction_proxy,False,False,27,0.7857142857142856,0.623931623931624,0.411241793985215,0.6296296296296297,0.5555555555555556,0.2838170974174174,"hp_a,hp_c",0.8925518925518925,0.001,0.005608489295031407,0.0023222395264384916,increment-supported,0.6605616605616605,0.002,-0.0009707613348873718,-0.0019392136491005862,residual-dependence-only
0,30263775,genuine_increment,True,True,27,0.6416361416361417,0.4245014245014246,0.8228728040083559,0.6296296296296297,0.2592592592592593,0.10720312101759785,hp_c,0.8015873015873015,0.001,0.02910396277767912,0.0085001554058256,increment-supported,0.8522588522588521,0.001,0.04374299050210208,0.021924366212069966,increment-supported
0,30264784,axis_specialist_proxy,False,False,27,0.8376068376068376,0.6296296296296297,0.003153439291006607,0.3333333333333333,-0.037037037037037014,0.004502968767793208,hp_a,0.1684981684981685,0.407,-0.00034554633430785783,-0.0015148308968812108,no-supported-increment,-0.09462759462759461,0.645,-0.0010940379862044106,-0.0020567573492373172,no-supported-increment
0,30265793,sign_flip_increment,False,True,27,-0.05128205128205128,-0.0028490028490028496,-0.32479792579390626,0.012345679012345677,-0.037037037037037056,5.85505390620652e-06,none,-0.3693528693528694,0.054,0.004898404491967177,-0.008212804017553215,no-supported-increment,-0.3852258852258852,0.05,0.028920573238072244,0.0007909876017419614,increment-supported
1,30270755,independent_null,False,False,27,0.2496947496947497,0.18518518518518523,0.04920803343736875,0.2839506172839506,0.1111111111111111,0.024871965794723196,hp_b,0.4084249084249084,0.039,-0.0015431270791345982,-0.002909864660970712,residual-dependence-only,-0.36446886446886445,0.066,-0.000374210937230144,-0.0010111431480721474,no-supported-increment
1,30271764,design_proxy,False,False,27,0.9792429792429792,0.8974358974358976,0.6775167173747711,0.7530864197530865,0.6296296296296297,0.38620855230742546,"hp_a,hp_c",0.7631257631257632,0.001,0.005063868112694532,0.001845981386515617,increment-supported,0.6501831501831502,0.001,0.00020007581533256977,-0.0009799532851232564,residual-dependence-only
1,30272773,interaction_proxy,False,False,27,0.6404151404151404,0.4415954415954416,0.3284058225913103,0.25925925925925924,-0.33333333333333337,0.14563841821666676,none,0.7893772893772893,0.001,0.004380603141106465,-6.0658273087125485e-05,residual-dependence-only,0.2222222222222222,0.257,-0.0005521052736619063,-0.0012774241024658536,no-supported-increment
1,30273782,genuine_increment,True,True,27,0.7368742368742369,0.5840455840455842,0.8291797678719516,0.6790123456790124,0.2592592592592593,0.26240158600705277,none,0.833943833943834,0.001,0.026441631945590172,0.0047248497303586994,increment-supported,0.8308913308913308,0.001,0.021736635643350745,9.535996880880756e-05,increment-supported
