sample_size,scenario,expected_increment,nuisance_model,repetitions,joint_support_rate,predictive_support_rate,median_delta_mse,median_refit_ci_low
100,clustered_null,False,polynomial_ridge,25,0.0,0.0,-0.004538511673312918,-0.06482850469995755
100,clustered_null,False,polynomial_ridge_interactions,25,0.0,0.0,-0.0016396258718013156,-0.04515676927364014
100,genuine_increment,True,polynomial_ridge,25,1.0,1.0,0.04333455621308696,0.028859376069707784
100,genuine_increment,True,polynomial_ridge_interactions,25,0.96,1.0,0.04321894926859954,0.029455875992767593
100,heteroskedastic_null,False,polynomial_ridge,25,0.0,0.0,-0.0008677054206539629,-0.002213474914335981
100,heteroskedastic_null,False,polynomial_ridge_interactions,25,0.0,0.0,-0.0002564610470512218,-0.0010221658844705422
100,nonlinear_proxy,False,polynomial_ridge,25,0.0,0.0,-0.00029509297712603313,-0.0013834177148695735
100,nonlinear_proxy,False,polynomial_ridge_interactions,25,0.0,0.0,-7.41625133531044e-05,-0.0006649723705633517
100,null_metric,False,polynomial_ridge,25,0.0,0.0,-0.0016766494247378583,-0.004434169031488339
100,null_metric,False,polynomial_ridge_interactions,25,0.0,0.0,-0.0008377758936647141,-0.002131337353816788
150,clustered_null,False,polynomial_ridge,25,0.0,0.0,-0.003644796234463319,-0.014555192771391591
150,clustered_null,False,polynomial_ridge_interactions,25,0.0,0.0,-0.0009399889294398585,-0.011284530864767129
150,genuine_increment,True,polynomial_ridge,25,1.0,1.0,0.04211828465964236,0.03105623250052986
150,genuine_increment,True,polynomial_ridge_interactions,25,1.0,1.0,0.04262439140034033,0.031271945969672386
150,heteroskedastic_null,False,polynomial_ridge,25,0.0,0.0,-0.0004512147617302797,-0.00122570048052585
150,heteroskedastic_null,False,polynomial_ridge_interactions,25,0.0,0.0,-0.00010792856948330619,-0.0004900975814395848
150,nonlinear_proxy,False,polynomial_ridge,25,0.0,0.04,-3.873951466264267e-05,-0.00048041959378081694
150,nonlinear_proxy,False,polynomial_ridge_interactions,25,0.0,0.0,-5.3252311967421674e-05,-0.00036073254037633087
150,null_metric,False,polynomial_ridge,25,0.0,0.0,-0.001345134979303074,-0.0029985275585511046
150,null_metric,False,polynomial_ridge_interactions,25,0.0,0.0,-0.0003497705592278369,-0.0012637011034818484
200,clustered_null,False,polynomial_ridge,25,0.0,0.0,-0.002563124131412648,-0.008806623378459095
200,clustered_null,False,polynomial_ridge_interactions,25,0.0,0.0,-0.001631610713690515,-0.006042574359128547
200,genuine_increment,True,polynomial_ridge,25,1.0,1.0,0.04192340855441837,0.033076609849401195
200,genuine_increment,True,polynomial_ridge_interactions,25,1.0,1.0,0.04106795213703481,0.03194030865781419
200,heteroskedastic_null,False,polynomial_ridge,25,0.0,0.0,-0.0004185637040863277,-0.0007849935167084651
200,heteroskedastic_null,False,polynomial_ridge_interactions,25,0.0,0.0,-8.2620089003815e-05,-0.0003654646945658387
200,nonlinear_proxy,False,polynomial_ridge,25,0.0,0.0,-0.00023514690803746064,-0.0004965722590555029
200,nonlinear_proxy,False,polynomial_ridge_interactions,25,0.0,0.0,-4.696865023573211e-05,-0.00028227220556360045
200,null_metric,False,polynomial_ridge,25,0.0,0.0,-0.0010906991264444076,-0.001956640003994556
200,null_metric,False,polynomial_ridge_interactions,25,0.0,0.0,-0.00036112716472049694,-0.0009021281412505411
300,clustered_null,False,polynomial_ridge,25,0.0,0.0,-0.0009268692296097482,-0.003561329490992338
300,clustered_null,False,polynomial_ridge_interactions,25,0.0,0.0,-0.000416268225458042,-0.002720250855143468
300,genuine_increment,True,polynomial_ridge,25,1.0,1.0,0.041992847559193164,0.034834249963657644
300,genuine_increment,True,polynomial_ridge_interactions,25,1.0,1.0,0.04110461550337152,0.03341610806213319
300,heteroskedastic_null,False,polynomial_ridge,25,0.0,0.0,-0.00021739457988389187,-0.00042391290793998765
300,heteroskedastic_null,False,polynomial_ridge_interactions,25,0.0,0.0,-4.943779279602788e-05,-0.0001875772223318803
300,nonlinear_proxy,False,polynomial_ridge,25,0.0,0.0,-5.226524799333693e-05,-0.0002497933924009181
300,nonlinear_proxy,False,polynomial_ridge_interactions,25,0.0,0.0,-3.197657504940606e-05,-0.000149509513111379
300,null_metric,False,polynomial_ridge,25,0.0,0.0,-0.0005294122387761654,-0.0010967794131978245
300,null_metric,False,polynomial_ridge_interactions,25,0.0,0.0,-0.0001009307453285202,-0.0005058563356736094
