scenario,expected_profile,expected_signal,n,polynomial_degree,nuisance_model,repetition,seed,raw_r,raw_p,partial_r,partial_p,legacy_partial_reject,crossfit_residual_r,crossfit_residual_p,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_residual_reject,positive_delta_mse,delta_ci_positive,joint_increment_decision,profile_pass
null_metric,no-increment,False,100,2,extra_trees,0,21263447,0.03201920192019202,0.7518146452358578,0.11562643578348818,0.25441770831639116,False,-0.06466165413533834,0.79,0.002112570144472827,0.0006059710854521594,0.003562386149599585,0.09801270204708155,False,True,True,False,True
null_metric,no-increment,False,100,2,extra_trees,1,21263448,-0.22683468346834684,0.023238099822237665,-0.21111290608234645,0.03594293880925777,True,-0.47518796992481205,0.03,0.0021047374296811056,-2.7469450920135928e-05,0.00427832925264652,0.07939333129262267,True,True,False,False,False
null_metric,no-increment,False,100,2,extra_trees,2,21263449,0.1117311731173117,0.26840899914073196,0.1315783247014551,0.19421412228679344,False,0.4421052631578947,0.036,0.003041451158301983,0.0008435682588086914,0.005676188376593453,0.14034952924210128,True,True,True,True,False
null_metric,no-increment,False,100,2,extra_trees,3,21263450,-0.02505850585058506,0.8045418475322409,0.23037614181572216,0.021787538116058002,True,0.060150375939849614,0.792,0.0014235754316669035,0.00017009638718972183,0.0027602476700067527,0.05566230937379814,False,True,True,False,True
null_metric,no-increment,False,100,2,extra_trees,4,21263451,0.09903390339033903,0.3269378227291371,-0.06539976028322105,0.5201305507026197,False,-0.18796992481203004,0.45,0.002176193123269596,-6.68993397852225e-05,0.004387079028756406,0.10892299484555952,False,True,False,False,False
null_metric,no-increment,False,100,2,extra_trees,5,21263452,-0.015613561356135612,0.8774662466967019,-0.06117223252868439,0.547513887926882,False,-0.7082706766917292,0.002,0.0018670468039170725,-0.0009623765038640045,0.005185095192624988,0.062316246605412774,True,True,False,False,False
null_metric,no-increment,False,100,2,extra_trees,6,21263453,0.029450945094509445,0.7711508718362058,0.09541644445580981,0.3474894895534873,False,-0.2526315789473684,0.282,2.572948341803688e-06,-0.002913132750511904,0.002480071761846692,0.00010971129445513628,False,True,False,False,False
null_metric,no-increment,False,100,2,extra_trees,7,21263454,-0.009240924092409241,0.9272944518045138,0.05123346787303384,0.6145260670171385,False,0.003007518796992481,0.992,0.002662451959407064,0.0013195437527112853,0.00421716023412976,0.13218479500310795,False,True,True,False,True
null_metric,no-increment,False,100,2,extra_trees,8,21263455,0.06569456945694568,0.5160874248744134,0.20062254018445277,0.046468781949895926,True,0.010526315789473682,0.964,0.0012591760218993026,-0.0005522808987106126,0.0030159023376292718,0.04946623948023086,False,True,False,False,True
null_metric,no-increment,False,100,2,extra_trees,9,21263456,0.2688748874887488,0.006831524310261455,0.21902140536166265,0.029400292698818786,True,-0.16992481203007515,0.474,0.0026479284748924213,-0.00011468238002344405,0.005325826994147447,0.08199085951855971,False,True,False,False,False
null_metric,no-increment,False,100,2,extra_trees,10,21263457,-0.0755235523552355,0.4551795682206327,-0.10374011022460566,0.3068509138327366,False,-0.29624060150375936,0.182,0.0020985564332218314,0.0005331276039052264,0.003839963850076242,0.069357636785317,False,True,True,False,False
null_metric,no-increment,False,100,2,extra_trees,11,21263458,-0.0006360636063606359,0.9949887858718217,-0.05137121537962248,0.6135734359901261,False,0.393984962406015,0.084,0.0029829777233561436,0.0016050050998579477,0.004255201487382591,0.11387757178212525,False,True,True,False,False
null_metric,no-increment,False,100,2,extra_trees,12,21263459,-0.09237323732373236,0.3606773929317405,-0.17485947666255433,0.08343441683213204,False,0.037593984962406006,0.902,0.005322310786973098,0.0023605563082017495,0.008619492128644327,0.2117746294815719,False,True,True,False,True
null_metric,no-increment,False,100,2,extra_trees,13,21263460,-0.11259525952595258,0.26470148854670306,-0.0892994528283551,0.37940572701058584,False,-0.28120300751879695,0.2,0.0024348584751254614,0.000534047447180913,0.004206175777796727,0.08594724938242634,False,True,True,False,False
null_metric,no-increment,False,100,2,extra_trees,14,21263461,-0.22185418541854182,0.026529493292603658,-0.11644247508287041,0.2510581461997226,False,0.045112781954887216,0.87,0.00024137497809968017,-0.0016969436397468762,0.0021867297832995096,0.006553027184799105,False,True,False,False,False
null_metric,no-increment,False,100,2,extra_trees,15,21263462,0.10684668466846685,0.2900254016726871,-0.04593302910076449,0.6516566596897008,False,0.22556390977443608,0.362,0.0015585885435166168,-0.0002127690127236537,0.003299506334870972,0.07189920891651602,False,True,False,False,False
null_metric,no-increment,False,100,2,extra_trees,16,21263463,-0.1221242124212421,0.22611595607536267,-0.12413492953733449,0.22088363594073168,False,-0.19248120300751878,0.39,0.0025506430490742117,0.000997911779631239,0.003974856689670679,0.104928328594142,False,True,True,False,False
null_metric,no-increment,False,100,2,extra_trees,17,21263464,-0.14444644464446443,0.15161925302427368,-0.23408381748903054,0.01969942252165107,True,-0.23458646616541348,0.304,0.0022216290965300506,-6.500275760826487e-05,0.0043868120670675905,0.10421879649473394,False,True,False,False,False
null_metric,no-increment,False,100,2,extra_trees,18,21263465,-0.058949894989498944,0.5601663159865622,-0.06520059956432502,0.5214048101180899,False,0.18796992481203004,0.436,0.0010376960773189996,-0.0009020757113728999,0.0029343182568244007,0.034756402296708774,False,True,False,False,False
null_metric,no-increment,False,100,2,extra_trees,19,21263466,0.051749174917491744,0.6091211139754567,-0.07844859756821021,0.44021450960778163,False,-0.35187969924812035,0.138,0.0011297168032860967,-0.000743707006511235,0.002852623242087257,0.04475181602237664,False,True,False,False,False
null_metric,no-increment,False,100,2,extra_trees,20,21263467,0.12176417641764176,0.22749784527249098,0.021688677315941544,0.8312614729458722,False,-0.29473684210526313,0.208,0.0020805594781278906,0.000528849428235985,0.0034321826093595947,0.07811502896285567,False,True,True,False,False
null_metric,no-increment,False,100,2,extra_trees,21,21263468,-0.004608460846084608,0.963704434314702,0.10519669983396825,0.3000718631078307,False,-0.11879699248120301,0.598,0.002010274823553603,0.000214325004286963,0.0037016122320461834,0.10436722228090578,False,True,True,False,True
null_metric,no-increment,False,100,2,extra_trees,22,21263469,-0.03007500750075007,0.7664389485613532,0.038256543725516894,0.7069531977806389,False,-0.2120300751879699,0.372,0.0025500491041111385,0.001236667169482135,0.004025364083607164,0.13634855889488226,False,True,True,False,False
null_metric,no-increment,False,100,2,extra_trees,23,21263470,-0.04798079807980797,0.6354651188094339,-0.10497980398507747,0.30107503075308495,False,-0.14586466165413534,0.574,0.0012649998841579614,-0.0003042410701463621,0.0026602633465162345,0.05219327959020381,False,True,False,False,True
null_metric,no-increment,False,100,2,extra_trees,24,21263471,0.05000900090009001,0.6212270936990621,0.04228894780451678,0.6776940470902986,False,0.34586466165413526,0.11,0.0018358978447138088,0.00012679101383721389,0.003810564560050468,0.06165932729181105,False,True,True,False,False
null_metric,no-increment,False,100,2,extra_trees,25,21263472,0.15350735073507346,0.12730230224359668,0.12177185495317966,0.22986717466431655,False,0.003007518796992481,0.996,0.00158191943540089,-0.0005015643434696511,0.003866235668604024,0.05916622375394851,False,True,False,False,False
null_metric,no-increment,False,100,2,extra_trees,26,21263473,-0.12206420642064204,0.2263458604203353,-0.14897009555383162,0.14111972520214447,False,-0.003007518796992481,0.988,0.0025178690773051855,0.0005690612748970721,0.0046702569175830514,0.10546093503685364,False,True,True,False,True
null_metric,no-increment,False,100,2,extra_trees,27,21263474,-0.20582058205820578,0.039938963445913696,0.008831416704604217,0.9308645251088413,False,0.2781954887218045,0.238,0.0018264727161238573,0.0003619136229106488,0.003384174594417039,0.08337088125936573,False,True,True,False,False
null_metric,no-increment,False,100,2,extra_trees,28,21263475,-0.11889588958895887,0.2387187792037451,-0.07893948346320051,0.43735007045553437,False,-0.23308270676691725,0.332,0.0007142985259359115,-0.0006679621853254358,0.0020404411920291613,0.028965715339279215,False,True,False,False,False
null_metric,no-increment,False,100,2,extra_trees,29,21263476,-0.03231923192319232,0.7495654570227841,0.0016649182383697636,0.9869509022911811,False,0.20902255639097742,0.402,0.0022583089331694485,0.0009314409164596692,0.003484965075556127,0.09165058814773908,False,True,True,False,False
null_metric,no-increment,False,100,2,extra_trees,30,21263477,-0.0709150915091509,0.483229035069957,-0.0427212379654333,0.6745846372561927,False,-0.10827067669172932,0.636,0.001430245695318931,-0.0009026844580114593,0.003463510735240866,0.04472766095073063,False,True,False,False,True
null_metric,no-increment,False,100,2,extra_trees,31,21263478,0.009576957695769576,0.9246582285476638,0.0460254993648296,0.6510011924949725,False,0.20902255639097742,0.4,0.0011356033005151742,-0.00016591119979080917,0.0023728657241865623,0.041506051761430185,False,True,False,False,False
null_metric,no-increment,False,100,2,extra_trees,32,21263479,-0.07589558955895588,0.45295523964108314,0.1026868899697884,0.3118143877061518,False,-0.1744360902255639,0.48,0.0017050241582999871,7.290954194106355e-05,0.0033751148715382086,0.08720904544440748,False,True,True,False,False
null_metric,no-increment,False,100,2,extra_trees,33,21263480,-0.036855685568556854,0.7158229816017789,0.003942445462796626,0.9691066176724434,False,0.12030075187969923,0.612,-0.00034112916447474884,-0.0030333519276785808,0.0022100903954097146,-0.010287347650060157,False,False,False,False,True
null_metric,no-increment,False,100,2,extra_trees,34,21263481,0.07023102310231022,0.4874699499659101,0.06088877810622786,0.5493747280751067,False,-0.2706766917293233,0.268,0.0023562423922577277,0.000348993289496087,0.004140596533941297,0.0726549748710156,False,True,True,False,False
null_metric,no-increment,False,100,2,extra_trees,35,21263482,-0.05773777377737773,0.5682742122052402,-0.0755329800438913,0.45744456910210524,False,-0.41353383458646614,0.1,0.003743027364340217,0.0015884264778517063,0.006092400549462857,0.14520298198000064,False,True,True,False,False
null_metric,no-increment,False,100,2,extra_trees,36,21263483,0.15902790279027904,0.1140244160083714,0.16174942951798774,0.10970985165941669,False,0.16842105263157892,0.518,0.0020008095888519317,-0.00030692755155888686,0.004420604655113419,0.08099900952734929,False,True,False,False,False
null_metric,no-increment,False,100,2,extra_trees,37,21263484,0.09000900090009001,0.3731528520403506,0.2070053661588484,0.039797597705991956,True,0.08270676691729321,0.756,0.003044901673265356,0.0001932835060349386,0.005931208327733925,0.10227263467812973,False,True,True,False,True
null_metric,no-increment,False,100,2,extra_trees,38,21263485,-0.14985898589858984,0.13670700747325243,0.006446313015168526,0.9495068635065584,False,0.2541353383458646,0.27,0.0014479072732277304,0.0004613379322073184,0.002515266294742332,0.044049138164927226,False,True,True,False,False
null_metric,no-increment,False,100,2,extra_trees,39,21263486,0.07522352235223523,0.45697778359456553,0.09131294523282048,0.3687094778265581,False,-0.021052631578947364,0.942,0.0015247656078725136,-0.0006906859065832886,0.003360898157403247,0.06316484319007351,False,True,False,False,True
null_metric,no-increment,False,100,2,extra_trees,40,21263487,-0.11329132913291329,0.2617402713852309,-0.06359371938100307,0.5317433981116537,False,-0.10827067669172932,0.622,-3.860350179017008e-05,-0.0027080707999057015,0.0024573659151168716,-0.0010917536442310546,False,False,False,False,True
null_metric,no-increment,False,100,2,extra_trees,41,21263488,-0.08987698769876985,0.3738571183167582,-0.023107637238185506,0.8204016744798797,False,-0.47368421052631576,0.04,0.0020991947450175463,0.001218011486465154,0.003009508095849099,0.0725182606540678,True,True,True,True,False
null_metric,no-increment,False,100,2,extra_trees,42,21263489,0.014437443744374435,0.8866323922888038,0.19500025589176723,0.05308882960567217,False,0.4481203007518797,0.058,0.0019876739664353993,-0.00036778724556300765,0.0043386514610907045,0.05896518497259483,False,True,False,False,False
