scenario,expected_profile,expected_signal,n,polynomial_degree,nuisance_model,legacy_partial_reject_rate,legacy_partial_reject_ci_low,legacy_partial_reject_ci_high,crossfit_residual_reject_rate,crossfit_residual_reject_ci_low,crossfit_residual_reject_ci_high,joint_increment_decision_rate,joint_increment_decision_ci_low,joint_increment_decision_ci_high,profile_pass_rate,profile_pass_ci_low,profile_pass_ci_high,repetitions,median_residual_r,median_delta_mse,median_relative_mse_improvement
clustered_null,conditional-null,False,100,2,extra_trees,0.34,0.25461520797348164,0.43722271145275377,0.13,0.07757167427240512,0.20980351440076428,0.03,0.010254524024038925,0.0845193642905276,0.93,0.8625048526092651,0.9656807389327273,100,0.03760812867382903,0.0014699370064799773,0.047160875092581836
clustered_null,conditional-null,False,100,6,extra_trees,0.39,0.3001687400639441,0.4879698295415926,0.19,0.12514751509768735,0.27778845379064376,0.07,0.03431926106727268,0.137495147390735,0.88,0.8018790057328857,0.9300059356298052,100,0.06766917293233082,0.001120741513995254,0.04920826078123688
clustered_null,conditional-null,False,200,2,extra_trees,0.34,0.25461520797348164,0.43722271145275377,0.17,0.10893566114059931,0.25548004767601123,0.07,0.03431926106727268,0.137495147390735,0.99,0.9455138038212946,0.9982325679358593,100,-0.024108818011257038,0.0021857817887277996,0.09451433655733868
clustered_null,conditional-null,False,200,6,extra_trees,0.31,0.22779697212376038,0.40626055719489407,0.1,0.0552291370606751,0.17436566150491345,0.04,0.01566330399154762,0.0983707143588792,0.95,0.8882495307680808,0.9784563208456319,100,-0.015104725308821888,0.00286296020853314,0.11766211379673998
clustered_null,conditional-null,False,400,2,extra_trees,0.34,0.25461520797348164,0.43722271145275377,0.18,0.1170022549894635,0.2666735838630073,0.13,0.07757167427240512,0.20980351440076428,0.98,0.929988209271456,0.9944980324498376,100,-0.022140178152836382,0.0033583776014868318,0.13829814152050418
clustered_null,conditional-null,False,400,6,extra_trees,0.4,0.3094012864324589,0.4979974132089382,0.19,0.12514751509768735,0.27778845379064376,0.1,0.0552291370606751,0.17436566150491345,0.98,0.929988209271456,0.9944980324498376,100,-0.0042194092827004225,0.0028422604659084864,0.1341903237829442
clustered_null,conditional-null,False,800,2,extra_trees,0.3,0.2189488529493276,0.3958485463334666,0.13,0.07757167427240512,0.20980351440076428,0.1,0.0552291370606751,0.17436566150491345,0.97,0.9154806357094724,0.9897454759759611,100,-0.007550099613266144,0.00376596147142887,0.15850131096083764
clustered_null,conditional-null,False,800,6,extra_trees,0.36,0.2727122040140433,0.4576459754839126,0.12,0.06999406437019488,0.19812099426711421,0.11,0.06254196357064568,0.18631296503080313,1.0,0.9630065017930143,1.0,100,-0.012205554904488457,0.003643917053699682,0.15223269043146598
genuine_increment,increment-survives,True,100,2,extra_trees,1.0,0.9630065017930143,1.0,0.99,0.9455138038212946,0.9982325679358593,0.99,0.9455138038212946,0.9982325679358593,1.0,0.9630065017930143,1.0,100,0.8353383458646616,0.03787823914196393,0.6488090483335252
genuine_increment,increment-survives,True,100,6,extra_trees,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8225563909774435,0.0367813981415753,0.6520869197459485
genuine_increment,increment-survives,True,200,2,extra_trees,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8493433395872422,0.041278232404251644,0.714628179352018
genuine_increment,increment-survives,True,200,6,extra_trees,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8451219512195124,0.040598655355613356,0.715315472769634
genuine_increment,increment-survives,True,400,2,extra_trees,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8454524144397563,0.04284441298409514,0.7670464769139295
genuine_increment,increment-survives,True,400,6,extra_trees,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8492498827941867,0.04223548989800065,0.7595464691011935
genuine_increment,increment-survives,True,800,2,extra_trees,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8531949490214461,0.043074177511192024,0.7768029169866799
genuine_increment,increment-survives,True,800,6,extra_trees,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8531114496660026,0.0435636513189723,0.7790048951476027
heteroskedastic_null,conditional-null,False,100,2,extra_trees,0.11,0.06254196357064568,0.18631296503080313,0.05,0.02154367915436796,0.11175046923191913,0.05,0.02154367915436796,0.11175046923191913,1.0,0.9630065017930143,1.0,100,-0.02706766917293233,0.004618558978175242,0.2262100876122924
