scenario,expected_profile,expected_signal,n,polynomial_degree,nuisance_model,legacy_partial_reject_rate,legacy_partial_reject_ci_low,legacy_partial_reject_ci_high,crossfit_residual_reject_rate,crossfit_residual_reject_ci_low,crossfit_residual_reject_ci_high,joint_increment_decision_rate,joint_increment_decision_ci_low,joint_increment_decision_ci_high,profile_pass_rate,profile_pass_ci_low,profile_pass_ci_high,repetitions,median_residual_r,median_delta_mse,median_relative_mse_improvement
clustered_null,conditional-null,False,100,2,polynomial_ridge_interactions,0.34,0.25461520797348164,0.43722271145275377,0.05,0.02154367915436796,0.11175046923191913,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.11994588219730294,-0.0024491851188086933,-0.11144014891800491
clustered_null,conditional-null,False,100,6,polynomial_ridge_interactions,0.39,0.3001687400639441,0.4879698295415926,0.14,0.08526343659939134,0.22137188210963837,0.03,0.010254524024038925,0.0845193642905276,0.98,0.929988209271456,0.9944980324498376,100,0.10601503759398495,-0.0034628790286603444,-0.15988425250425334
clustered_null,conditional-null,False,200,2,polynomial_ridge_interactions,0.34,0.25461520797348164,0.43722271145275377,0.09,0.04807254000256516,0.1622621285271631,0.01,0.0017674320641406505,0.054486196178705315,1.0,0.9630065017930143,1.0,100,0.05145522406285053,-0.0010140890350561205,-0.0627695675522125
clustered_null,conditional-null,False,200,6,polynomial_ridge_interactions,0.31,0.22779697212376038,0.40626055719489407,0.07,0.03431926106727268,0.137495147390735,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.03986866791744842,-0.001423788496662125,-0.06431173083030575
clustered_null,conditional-null,False,400,2,polynomial_ridge_interactions,0.34,0.25461520797348164,0.43722271145275377,0.05,0.02154367915436796,0.11175046923191913,0.01,0.0017674320641406505,0.054486196178705315,1.0,0.9630065017930143,1.0,100,0.012834036568213783,-0.0004498886024231017,-0.02484266087658616
clustered_null,conditional-null,False,400,6,polynomial_ridge_interactions,0.4,0.3094012864324589,0.4979974132089382,0.12,0.06999406437019488,0.19812099426711421,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.012974683544303799,-0.00036897705460897483,-0.0209372269496454
clustered_null,conditional-null,False,800,2,polynomial_ridge_interactions,0.3,0.2189488529493276,0.3958485463334666,0.04,0.01566330399154762,0.0983707143588792,0.01,0.0017674320641406505,0.054486196178705315,1.0,0.9630065017930143,1.0,100,0.03556340091409821,-0.00020830585747080854,-0.013086990165309828
clustered_null,conditional-null,False,800,6,polynomial_ridge_interactions,0.36,0.2727122040140433,0.4576459754839126,0.07,0.03431926106727268,0.137495147390735,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.008848001875073244,-0.00022731020746930876,-0.01286244825930053
genuine_increment,increment-survives,True,100,2,polynomial_ridge_interactions,1.0,0.9630065017930143,1.0,0.99,0.9455138038212946,0.9982325679358593,0.99,0.9455138038212946,0.9982325679358593,1.0,0.9630065017930143,1.0,100,0.856390977443609,0.0413406712635939,0.724693326077908
genuine_increment,increment-survives,True,100,6,polynomial_ridge_interactions,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8323308270676691,0.04176528532963243,0.7238765255043482
