shard,sample_size,repetition,scenario,expected_increment,nuisance_model,residual_p,delta_mse,refit_delta_mse_ci_low,joint_supported,predictive_supported
inference_shard_00,100,0,null_metric,False,polynomial_ridge,0.62,-0.0023183283289699,-0.0068866353613651,False,False
inference_shard_00,100,0,null_metric,False,polynomial_ridge_interactions,0.805,0.0001543501768484,-0.0015263934433829,False,False
inference_shard_00,100,0,nonlinear_proxy,False,polynomial_ridge,0.315,-0.0008159568008949,-0.0009054088643096,False,False
inference_shard_00,100,0,nonlinear_proxy,False,polynomial_ridge_interactions,0.42,-7.126327075698824e-05,-0.0003439874194714,False,False
inference_shard_00,100,0,heteroskedastic_null,False,polynomial_ridge,0.45,-0.0011041948759495,-0.0024209988181779,False,False
inference_shard_00,100,0,heteroskedastic_null,False,polynomial_ridge_interactions,0.955,-3.571830213214104e-05,-0.000795119800252,False,False
inference_shard_00,100,0,clustered_null,False,polynomial_ridge,0.485,-0.00084076561902,-0.02975117657361,False,False
inference_shard_00,100,0,clustered_null,False,polynomial_ridge_interactions,0.88,-0.0048075149643353,-0.0267545645913991,False,False
inference_shard_00,100,0,genuine_increment,True,polynomial_ridge,0.005,0.0474463361499441,0.0336795993256026,True,True
inference_shard_00,100,0,genuine_increment,True,polynomial_ridge_interactions,0.005,0.0541971658566973,0.0326521785856619,True,True
inference_shard_00,100,1,null_metric,False,polynomial_ridge,0.405,-0.0036603309038172,-0.0063287869446627,False,False
inference_shard_00,100,1,null_metric,False,polynomial_ridge_interactions,0.325,-8.913306508779792e-05,-0.0019653043813838,False,False
inference_shard_00,100,1,nonlinear_proxy,False,polynomial_ridge,0.745,0.0001387558320777,-0.0012038829789286,False,False
inference_shard_00,100,1,nonlinear_proxy,False,polynomial_ridge_interactions,0.61,-7.449559056070185e-06,-0.0007444416387306,False,False
inference_shard_00,100,1,heteroskedastic_null,False,polynomial_ridge,0.665,-0.0011050348554812,-0.0027623356763909,False,False
inference_shard_00,100,1,heteroskedastic_null,False,polynomial_ridge_interactions,0.415,-6.112004116798526e-05,-0.0015323789158046,False,False
inference_shard_00,100,1,clustered_null,False,polynomial_ridge,0.06,-0.005988178945391,-0.048129332109901,False,False
inference_shard_00,100,1,clustered_null,False,polynomial_ridge_interactions,0.015,-0.0016040980543936,-0.0143664018161964,False,False
inference_shard_00,100,1,genuine_increment,True,polynomial_ridge,0.005,0.0439714821513525,0.0293478128045964,True,True
inference_shard_00,100,1,genuine_increment,True,polynomial_ridge_interactions,0.005,0.0404554382186992,0.0270473165424592,True,True
inference_shard_00,100,2,null_metric,False,polynomial_ridge,0.14,-0.0038782902648369,-0.0043456323827627,False,False
inference_shard_00,100,2,null_metric,False,polynomial_ridge_interactions,0.355,-0.0009757025722698,-0.0015194276885323,False,False
inference_shard_00,100,2,nonlinear_proxy,False,polynomial_ridge,0.405,-7.925385344050972e-05,-0.0005428694585648,False,False
inference_shard_00,100,2,nonlinear_proxy,False,polynomial_ridge_interactions,0.245,-0.0001525909914052,-0.0004654758946917,False,False
