sample_size,scenario,expected_increment,nuisance_model,repetitions,joint_support_rate,predictive_support_rate,median_delta_mse,median_refit_ci_low
100,clustered_null,False,polynomial_ridge,200,0.0,0.0,-0.0069184879333883,-0.06113330775107255
100,clustered_null,False,polynomial_ridge_interactions,200,0.0,0.0,-0.0031546579775799,-0.0500062817988524
100,genuine_increment,True,polynomial_ridge,200,0.995,1.0,0.04259585263973455,0.028512771556849052
100,genuine_increment,True,polynomial_ridge_interactions,200,0.99,1.0,0.0431326094447242,0.0277377087238014
100,heteroskedastic_null,False,polynomial_ridge,200,0.0,0.0,-0.0008231394653160501,-0.0021428760854719
100,heteroskedastic_null,False,polynomial_ridge_interactions,200,0.0,0.0,-0.00022541583087525,-0.0011054098759619999
100,nonlinear_proxy,False,polynomial_ridge,200,0.0,0.0,-0.0002630586191752,-0.0012875021612192001
100,nonlinear_proxy,False,polynomial_ridge_interactions,200,0.005,0.01,-7.010555637511654e-05,-0.0006639936002082001
100,null_metric,False,polynomial_ridge,200,0.0,0.0,-0.00185203208067455,-0.0045398242932505
100,null_metric,False,polynomial_ridge_interactions,200,0.0,0.0,-0.00057396338624165,-0.00196523488783705
150,clustered_null,False,polynomial_ridge,200,0.0,0.0,-0.00303802836313485,-0.0162484749530123
150,clustered_null,False,polynomial_ridge_interactions,200,0.0,0.0,-0.00164008858232715,-0.012522980455467951
150,genuine_increment,True,polynomial_ridge,200,1.0,1.0,0.0418851138831087,0.03118894552429135
150,genuine_increment,True,polynomial_ridge_interactions,200,1.0,1.0,0.0423780861640018,0.030578523685328
150,heteroskedastic_null,False,polynomial_ridge,200,0.0,0.0,-0.0004760155470139,-0.0011303335750755
150,heteroskedastic_null,False,polynomial_ridge_interactions,200,0.0,0.0,-0.00014047342677089999,-0.00053260103899565
150,nonlinear_proxy,False,polynomial_ridge,200,0.005,0.02,-0.00010799863001585,-0.00063239167416275
150,nonlinear_proxy,False,polynomial_ridge_interactions,200,0.025,0.03,-7.023796868830265e-05,-0.00039638862101144996
150,null_metric,False,polynomial_ridge,200,0.0,0.0,-0.00121151974158475,-0.00262495514010695
150,null_metric,False,polynomial_ridge_interactions,200,0.0,0.0,-0.00031896537542925,-0.00111120546649115
200,clustered_null,False,polynomial_ridge,200,0.0,0.0,-0.0023841531003715,-0.00812209979017145
200,clustered_null,False,polynomial_ridge_interactions,200,0.0,0.0,-0.0012237728292285,-0.00550641396964
200,genuine_increment,True,polynomial_ridge,200,1.0,1.0,0.04233375398227425,0.032975994910330444
200,genuine_increment,True,polynomial_ridge_interactions,200,1.0,1.0,0.04237068941783505,0.032258525427183896
200,heteroskedastic_null,False,polynomial_ridge,200,0.0,0.0,-0.00033083360247555,-0.00077012315873485
200,heteroskedastic_null,False,polynomial_ridge_interactions,200,0.0,0.0,-7.906085808088558e-05,-0.00036570966418555
200,nonlinear_proxy,False,polynomial_ridge,200,0.0,0.0,-0.0001247387010084,-0.00043164067211345
200,nonlinear_proxy,False,polynomial_ridge_interactions,200,0.005,0.015,-3.539016962733751e-05,-0.0002666830179774
200,null_metric,False,polynomial_ridge,200,0.0,0.0,-0.00081200930472005,-0.00174883474523255
200,null_metric,False,polynomial_ridge_interactions,200,0.0,0.0,-0.0002420545388926,-0.0008017686358722999
300,clustered_null,False,polynomial_ridge,200,0.0,0.0,-0.0013806661496300501,-0.00386578923291465
300,clustered_null,False,polynomial_ridge_interactions,200,0.0,0.0,-0.0006953450614348,-0.0025548118700116
300,genuine_increment,True,polynomial_ridge,200,1.0,1.0,0.0417284872488903,0.034502402671879207
300,genuine_increment,True,polynomial_ridge_interactions,200,1.0,1.0,0.0415106303663217,0.0339279191751166
300,heteroskedastic_null,False,polynomial_ridge,200,0.0,0.0,-0.00021000082304055,-0.0004697290492599
300,heteroskedastic_null,False,polynomial_ridge_interactions,200,0.0,0.0,-5.3580463054253916e-05,-0.00021234670454729998
300,nonlinear_proxy,False,polynomial_ridge,200,0.0,0.005,-6.963624811010677e-05,-0.0002784929984583
300,nonlinear_proxy,False,polynomial_ridge_interactions,200,0.0,0.0,-2.8494377309232904e-05,-0.000179994270102
300,null_metric,False,polynomial_ridge,200,0.0,0.0,-0.00055392330542685,-0.0011398521384879
300,null_metric,False,polynomial_ridge_interactions,200,0.0,0.0,-0.00014496895004875,-0.00048223951816724997
