degree,nuisance_model,generic_max_null_proxy_joint_rate,generic_min_signal_joint_rate,observed_strict_beta_0_5_rate,observed_predictive_beta_0_0_rate,observed_predictive_beta_0_2_rate,observed_predictive_beta_0_3_rate,observed_predictive_beta_0_5_rate
1,polynomial_ridge,1.0,0.99,0.04555555555555556,0.0,0.86,0.9844444444444445,1.0
1,polynomial_ridge_interactions,1.0,0.98,0.04555555555555556,0.0,0.0,0.0044444444444444444,0.04555555555555556
2,polynomial_ridge,1.0,0.97,0.015555555555555557,0.0,0.6544444444444445,0.9222222222222223,0.9933333333333333
2,polynomial_ridge_interactions,1.0,0.98,0.015555555555555557,0.0,0.0,0.0011111111111111111,0.015555555555555555
3,polynomial_ridge,1.0,1.0,0.011111111111111112,0.0,0.5844444444444444,0.9022222222222223,0.9866666666666667
3,polynomial_ridge_interactions,1.0,0.99,0.011111111111111112,0.0,0.0,0.0011111111111111111,0.011111111111111112
4,polynomial_ridge,0.17,1.0,0.01,0.0,0.49,0.87,0.9822222222222222
4,polynomial_ridge_interactions,0.05,1.0,0.01,0.0,0.0,0.0022222222222222222,0.01
6,polynomial_ridge,0.0,0.99,0.01,0.0,0.4211111111111111,0.8277777777777777,0.9833333333333333
6,polynomial_ridge_interactions,0.03,0.99,0.01,0.0,0.0,0.0022222222222222222,0.01
