scenario,nuisance_model,refit_draws,paired_repetitions,reference_draws,decision_agreement_rate,positive_to_negative_rate,negative_to_positive_rate,median_absolute_ci_low_difference,max_absolute_ci_low_difference
clustered_null,polynomial_ridge,99,100,999,1.0,0.0,0.0,0.0032391452795216095,0.03435664186557967
clustered_null,polynomial_ridge,199,100,999,1.0,0.0,0.0,0.002352082039848424,0.008963685430805592
clustered_null,polynomial_ridge,499,100,999,1.0,0.0,0.0,0.0009881527814133107,0.0065963083526405855
clustered_null,polynomial_ridge_interactions,99,100,999,1.0,0.0,0.0,0.0017420806646819588,0.019432761282742596
clustered_null,polynomial_ridge_interactions,199,100,999,1.0,0.0,0.0,0.00167454226128358,0.015289266774442093
clustered_null,polynomial_ridge_interactions,499,100,999,1.0,0.0,0.0,0.0007222593234301189,0.005904795145661924
genuine_increment,polynomial_ridge,99,100,999,1.0,0.0,0.0,0.0006126705546145774,0.0026020022873205137
genuine_increment,polynomial_ridge,199,100,999,1.0,0.0,0.0,0.0004690442596052731,0.001805470272687501
genuine_increment,polynomial_ridge,499,100,999,1.0,0.0,0.0,0.0002113362728298051,0.0017393147623028724
genuine_increment,polynomial_ridge_interactions,99,100,999,1.0,0.0,0.0,0.0008312083140751114,0.0033922482691958605
genuine_increment,polynomial_ridge_interactions,199,100,999,1.0,0.0,0.0,0.0005959775740504367,0.0031025236366603107
genuine_increment,polynomial_ridge_interactions,499,100,999,1.0,0.0,0.0,0.0002733914939911288,0.0012976828301740767
heteroskedastic_null,polynomial_ridge,99,100,999,1.0,0.0,0.0,0.0001416185047299752,0.0008059009108071775
heteroskedastic_null,polynomial_ridge,199,100,999,1.0,0.0,0.0,8.512970379810885e-05,0.0004477093450546241
heteroskedastic_null,polynomial_ridge,499,100,999,1.0,0.0,0.0,3.3386880406801385e-05,0.00019000954015757458
heteroskedastic_null,polynomial_ridge_interactions,99,100,999,1.0,0.0,0.0,5.900379381095801e-05,0.00037165139450226915
heteroskedastic_null,polynomial_ridge_interactions,199,100,999,0.99,0.01,0.0,4.62345880361301e-05,0.00023474449109569
heteroskedastic_null,polynomial_ridge_interactions,499,100,999,1.0,0.0,0.0,1.6826389448564656e-05,0.00010841321248534314
nonlinear_proxy,polynomial_ridge,99,100,999,0.99,0.01,0.0,9.348727029509133e-05,0.00029930362100654263
nonlinear_proxy,polynomial_ridge,199,100,999,1.0,0.0,0.0,6.105708648202317e-05,0.000292963944236501
nonlinear_proxy,polynomial_ridge,499,100,999,1.0,0.0,0.0,2.6985649012188704e-05,0.00017482839590400405
nonlinear_proxy,polynomial_ridge_interactions,99,100,999,0.98,0.01,0.01,6.165601712730739e-05,0.00031636390562051234
nonlinear_proxy,polynomial_ridge_interactions,199,100,999,0.97,0.02,0.01,3.980514744943396e-05,0.00016405282069038586
nonlinear_proxy,polynomial_ridge_interactions,499,100,999,1.0,0.0,0.0,1.50086478457947e-05,0.00011659911814778713
null_metric,polynomial_ridge,99,100,999,1.0,0.0,0.0,0.0002278343608216407,0.0013957780120043266
null_metric,polynomial_ridge,199,100,999,1.0,0.0,0.0,0.0001628160637467944,0.0007803721746036133
null_metric,polynomial_ridge,499,100,999,1.0,0.0,0.0,7.569573118391742e-05,0.0004644981896334251
null_metric,polynomial_ridge_interactions,99,100,999,1.0,0.0,0.0,0.00010848416409767387,0.0006970810550737522
null_metric,polynomial_ridge_interactions,199,100,999,1.0,0.0,0.0,8.24686371057484e-05,0.00035092803462141633
null_metric,polynomial_ridge_interactions,499,100,999,1.0,0.0,0.0,3.42188592110256e-05,0.00019404056986923896
