scope,baseline,candidate_id,scenario,icc,beta,planned_repetitions,estimated_repetitions,estimability_rate,predictive_support_count,predictive_support_rate,predictive_wilson_95_low,predictive_wilson_95_high,joint_support_count,joint_support_rate,joint_wilson_95_low,joint_wilson_95_high
image,B1_design,additive_d4,additive_proxy_null,0.3,0.0,100,100,1.0,19,0.19,0.12514751509768735,0.27778845379064376,6,0.06,0.027786123963188192,0.1247681544589592
image,B1_design,additive_d4,additive_proxy_null,0.8,0.0,100,100,1.0,13,0.13,0.07757167427240512,0.20980351440076428,3,0.03,0.010254524024038925,0.0845193642905276
image,B1_design,additive_d4,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,55,0.55,0.45244602997442135,0.6438546202048803,44,0.44,0.34672026630160796,0.5377189534832302
image,B1_design,additive_d4,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,37,0.37,0.28182360534324524,0.4677947041905709,21,0.21,0.141656540619153,0.29979968834089865
image,B1_design,additive_d4,independent_null,0.3,0.0,100,100,1.0,11,0.11,0.06254196357064568,0.18631296503080313,4,0.04,0.01566330399154762,0.0983707143588792
image,B1_design,additive_d4,independent_null,0.8,0.0,100,100,1.0,10,0.1,0.0552291370606751,0.17436566150491345,2,0.02,0.00550196755016235,0.07001179072854388
image,B1_design,additive_d4,interaction_increment,0.3,0.2,100,100,1.0,58,0.58,0.4820648670304296,0.6720161732564526,52,0.52,0.4231657776522397,0.615354482419481
image,B1_design,additive_d4,interaction_increment,0.3,0.35,100,100,1.0,74,0.74,0.6462901055081282,0.8159530153525186,70,0.7,0.6041514536665332,0.7810511470506724
image,B1_design,additive_d4,interaction_increment,0.3,0.5,100,100,1.0,72,0.72,0.6251197129007884,0.7986031478881379,69,0.69,0.5937394428051057,0.7722030278762395
image,B1_design,additive_d4,interaction_increment,0.8,0.2,100,100,1.0,71,0.71,0.6146110882442888,0.7898516425087772,62,0.62,0.5220975529551107,0.7090240074752127
image,B1_design,additive_d4,interaction_increment,0.8,0.35,100,100,1.0,82,0.82,0.7333264161369926,0.8829977450105364,82,0.82,0.7333264161369926,0.8829977450105364
image,B1_design,additive_d4,interaction_increment,0.8,0.5,100,100,1.0,92,0.92,0.8500189229905127,0.9589065385156194,92,0.92,0.8500189229905127,0.9589065385156194
image,B1_design,additive_d4,interaction_proxy_null,0.3,0.0,100,100,1.0,35,0.35,0.26364248243097527,0.44745556703112027,27,0.27,0.1926958414957634,0.36432116767944994
image,B1_design,additive_d4,interaction_proxy_null,0.8,0.0,100,100,1.0,35,0.35,0.26364248243097527,0.44745556703112027,22,0.22,0.150012823846054,0.31070353514985793
image,B1_design,additive_d4,nonlinear_proxy_null,0.3,0.0,100,100,1.0,15,0.15,0.0930598528365663,0.23283559590832364,5,0.05,0.02154367915436796,0.11175046923191913
image,B1_design,additive_d4,nonlinear_proxy_null,0.8,0.0,100,100,1.0,19,0.19,0.12514751509768735,0.27778845379064376,6,0.06,0.027786123963188192,0.1247681544589592
image,B1_design,additive_d6,additive_proxy_null,0.3,0.0,100,100,1.0,12,0.12,0.06999406437019488,0.19812099426711421,2,0.02,0.00550196755016235,0.07001179072854388
image,B1_design,additive_d6,additive_proxy_null,0.8,0.0,100,100,1.0,14,0.14,0.08526343659939134,0.22137188210963837,7,0.07,0.03431926106727268,0.137495147390735
image,B1_design,additive_d6,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,34,0.34,0.25461520797348164,0.43722271145275377,28,0.28,0.20139685211186212,0.3748802870992116
image,B1_design,additive_d6,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,37,0.37,0.28182360534324524,0.4677947041905709,29,0.29,0.2101483574912227,0.3853889117557111
