scope,baseline,candidate_id,scenario,icc,beta,planned_repetitions,estimated_repetitions,estimability_rate,support_count,support_rate,support_wilson_95_low,support_wilson_95_high,positive_support_count,positive_support_rate,positive_support_wilson_95_low,positive_support_wilson_95_high
image,B1_design,score_additive_d4,additive_proxy_null,0.3,0.0,10,10,1.0,1,0.1,0.017876213095072896,0.4041500267952385,0,0.0,0.0,0.2775327998628892
image,B1_design,score_additive_d4,additive_proxy_null,0.8,0.0,10,10,1.0,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892
image,B1_design,score_additive_d4,heteroskedastic_proxy_null,0.3,0.0,10,10,1.0,5,0.5,0.236593090512564,0.7634069094874361,5,0.5,0.236593090512564,0.7634069094874361
image,B1_design,score_additive_d4,heteroskedastic_proxy_null,0.8,0.0,10,10,1.0,2,0.2,0.05668215145437519,0.5098375284633583,2,0.2,0.05668215145437519,0.5098375284633583
image,B1_design,score_additive_d4,independent_null,0.3,0.0,10,10,1.0,1,0.1,0.017876213095072896,0.4041500267952385,1,0.1,0.017876213095072896,0.4041500267952385
image,B1_design,score_additive_d4,independent_null,0.8,0.0,10,10,1.0,1,0.1,0.017876213095072896,0.4041500267952385,1,0.1,0.017876213095072896,0.4041500267952385
image,B1_design,score_additive_d4,interaction_increment,0.3,0.2,10,10,1.0,8,0.8,0.49016247153664183,0.9433178485456247,8,0.8,0.49016247153664183,0.9433178485456247
image,B1_design,score_additive_d4,interaction_increment,0.3,0.35,10,10,1.0,8,0.8,0.49016247153664183,0.9433178485456247,8,0.8,0.49016247153664183,0.9433178485456247
image,B1_design,score_additive_d4,interaction_increment,0.3,0.5,10,10,1.0,9,0.9,0.5958499732047615,0.9821237869049271,9,0.9,0.5958499732047615,0.9821237869049271
image,B1_design,score_additive_d4,interaction_increment,0.8,0.2,10,10,1.0,9,0.9,0.5958499732047615,0.9821237869049271,9,0.9,0.5958499732047615,0.9821237869049271
image,B1_design,score_additive_d4,interaction_increment,0.8,0.35,10,10,1.0,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999
image,B1_design,score_additive_d4,interaction_increment,0.8,0.5,10,10,1.0,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999
image,B1_design,score_additive_d4,interaction_proxy_null,0.3,0.0,10,10,1.0,5,0.5,0.236593090512564,0.7634069094874361,5,0.5,0.236593090512564,0.7634069094874361
image,B1_design,score_additive_d4,interaction_proxy_null,0.8,0.0,10,10,1.0,6,0.6,0.31267376973365824,0.8318196702937638,6,0.6,0.31267376973365824,0.8318196702937638
image,B1_design,score_additive_d4,nonlinear_proxy_null,0.3,0.0,10,10,1.0,1,0.1,0.017876213095072896,0.4041500267952385,0,0.0,0.0,0.2775327998628892
image,B1_design,score_additive_d4,nonlinear_proxy_null,0.8,0.0,10,10,1.0,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892
image,B1_design,score_additive_d6,additive_proxy_null,0.3,0.0,10,10,1.0,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892
image,B1_design,score_additive_d6,additive_proxy_null,0.8,0.0,10,10,1.0,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892
image,B1_design,score_additive_d6,heteroskedastic_proxy_null,0.3,0.0,10,10,1.0,5,0.5,0.236593090512564,0.7634069094874361,5,0.5,0.236593090512564,0.7634069094874361
image,B1_design,score_additive_d6,heteroskedastic_proxy_null,0.8,0.0,10,10,1.0,6,0.6,0.31267376973365824,0.8318196702937638,6,0.6,0.31267376973365824,0.8318196702937638
image,B1_design,score_additive_d6,independent_null,0.3,0.0,10,10,1.0,1,0.1,0.017876213095072896,0.4041500267952385,1,0.1,0.017876213095072896,0.4041500267952385
image,B1_design,score_additive_d6,independent_null,0.8,0.0,10,10,1.0,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892
image,B1_design,score_additive_d6,interaction_increment,0.3,0.2,10,10,1.0,6,0.6,0.31267376973365824,0.8318196702937638,6,0.6,0.31267376973365824,0.8318196702937638
image,B1_design,score_additive_d6,interaction_increment,0.3,0.35,10,10,1.0,7,0.7,0.39677814746114537,0.8922087325936989,7,0.7,0.39677814746114537,0.8922087325936989
image,B1_design,score_additive_d6,interaction_increment,0.3,0.5,10,10,1.0,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999
image,B1_design,score_additive_d6,interaction_increment,0.8,0.2,10,10,1.0,9,0.9,0.5958499732047615,0.9821237869049271,9,0.9,0.5958499732047615,0.9821237869049271
image,B1_design,score_additive_d6,interaction_increment,0.8,0.35,10,10,1.0,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999
image,B1_design,score_additive_d6,interaction_increment,0.8,0.5,10,10,1.0,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999
image,B1_design,score_additive_d6,interaction_proxy_null,0.3,0.0,10,10,1.0,5,0.5,0.236593090512564,0.7634069094874361,4,0.4,0.16818032970623614,0.6873262302663417
