scope,baseline,candidate_id,scenario,icc,beta,planned_repetitions,estimated_repetitions,estimability_rate,support_count,support_rate,support_wilson_95_low,support_wilson_95_high,positive_support_count,positive_support_rate,positive_support_wilson_95_low,positive_support_wilson_95_high
image,B1_design,configmean_additive_d4_r01,additive_proxy_null,0.3,0.0,10,10,1.0,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892
image,B1_design,configmean_additive_d4_r01,additive_proxy_null,0.8,0.0,10,10,1.0,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892
image,B1_design,configmean_additive_d4_r01,heteroskedastic_proxy_null,0.3,0.0,10,10,1.0,3,0.3,0.10779126740630099,0.6032218525388546,3,0.3,0.10779126740630099,0.6032218525388546
image,B1_design,configmean_additive_d4_r01,heteroskedastic_proxy_null,0.8,0.0,10,10,1.0,1,0.1,0.017876213095072896,0.4041500267952385,1,0.1,0.017876213095072896,0.4041500267952385
image,B1_design,configmean_additive_d4_r01,independent_null,0.3,0.0,10,10,1.0,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892
image,B1_design,configmean_additive_d4_r01,independent_null,0.8,0.0,10,10,1.0,1,0.1,0.017876213095072896,0.4041500267952385,0,0.0,0.0,0.2775327998628892
image,B1_design,configmean_additive_d4_r01,interaction_increment,0.3,0.2,10,10,1.0,3,0.3,0.10779126740630099,0.6032218525388546,3,0.3,0.10779126740630099,0.6032218525388546
image,B1_design,configmean_additive_d4_r01,interaction_increment,0.3,0.35,10,10,1.0,5,0.5,0.236593090512564,0.7634069094874361,5,0.5,0.236593090512564,0.7634069094874361
image,B1_design,configmean_additive_d4_r01,interaction_increment,0.3,0.5,10,10,1.0,7,0.7,0.39677814746114537,0.8922087325936989,7,0.7,0.39677814746114537,0.8922087325936989
image,B1_design,configmean_additive_d4_r01,interaction_increment,0.8,0.2,10,10,1.0,3,0.3,0.10779126740630099,0.6032218525388546,3,0.3,0.10779126740630099,0.6032218525388546
