scope,baseline,candidate_id,scenario,icc,beta,planned_repetitions,estimated_repetitions,estimability_rate,support_count,support_rate,support_wilson_95_low,support_wilson_95_high,positive_support_count,positive_support_rate,positive_support_wilson_95_low,positive_support_wilson_95_high
image,B1_design,configmean_extra_trees,additive_proxy_null,0.3,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
image,B1_design,configmean_extra_trees,additive_proxy_null,0.8,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,2,0.02,0.00550196755016235,0.07001179072854388
image,B1_design,configmean_extra_trees,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,3,0.03,0.010254524024038925,0.0845193642905276
image,B1_design,configmean_extra_trees,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
image,B1_design,configmean_extra_trees,independent_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,configmean_extra_trees,independent_null,0.8,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,configmean_extra_trees,interaction_increment,0.3,0.2,100,100,1.0,7,0.07,0.03431926106727268,0.137495147390735,7,0.07,0.03431926106727268,0.137495147390735
image,B1_design,configmean_extra_trees,interaction_increment,0.3,0.35,100,100,1.0,15,0.15,0.0930598528365663,0.23283559590832364,15,0.15,0.0930598528365663,0.23283559590832364
image,B1_design,configmean_extra_trees,interaction_increment,0.3,0.5,100,100,1.0,29,0.29,0.2101483574912227,0.3853889117557111,29,0.29,0.2101483574912227,0.3853889117557111
image,B1_design,configmean_extra_trees,interaction_increment,0.8,0.2,100,100,1.0,18,0.18,0.1170022549894635,0.2666735838630073,18,0.18,0.1170022549894635,0.2666735838630073
image,B1_design,configmean_extra_trees,interaction_increment,0.8,0.35,100,100,1.0,15,0.15,0.0930598528365663,0.23283559590832364,15,0.15,0.0930598528365663,0.23283559590832364
image,B1_design,configmean_extra_trees,interaction_increment,0.8,0.5,100,100,1.0,52,0.52,0.4231657776522397,0.615354482419481,52,0.52,0.4231657776522397,0.615354482419481
image,B1_design,configmean_extra_trees,interaction_proxy_null,0.3,0.0,100,100,1.0,5,0.05,0.02154367915436796,0.11175046923191913,5,0.05,0.02154367915436796,0.11175046923191913
image,B1_design,configmean_extra_trees,interaction_proxy_null,0.8,0.0,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,3,0.03,0.010254524024038925,0.0845193642905276
image,B1_design,configmean_extra_trees,nonlinear_proxy_null,0.3,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,2,0.02,0.00550196755016235,0.07001179072854388
image,B1_design,configmean_extra_trees,nonlinear_proxy_null,0.8,0.0,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,1,0.01,0.0017674320641406505,0.054486196178705315
image,B1_design,configmean_interactions_d4_r10,additive_proxy_null,0.3,0.0,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,3,0.03,0.010254524024038925,0.0845193642905276
image,B1_design,configmean_interactions_d4_r10,additive_proxy_null,0.8,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,2,0.02,0.00550196755016235,0.07001179072854388
image,B1_design,configmean_interactions_d4_r10,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,10,0.1,0.0552291370606751,0.17436566150491345,10,0.1,0.0552291370606751,0.17436566150491345
image,B1_design,configmean_interactions_d4_r10,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,6,0.06,0.027786123963188192,0.1247681544589592,6,0.06,0.027786123963188192,0.1247681544589592
image,B1_design,configmean_interactions_d4_r10,independent_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,configmean_interactions_d4_r10,independent_null,0.8,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,configmean_interactions_d4_r10,interaction_increment,0.3,0.2,100,100,1.0,27,0.27,0.1926958414957634,0.36432116767944994,27,0.27,0.1926958414957634,0.36432116767944994
image,B1_design,configmean_interactions_d4_r10,interaction_increment,0.3,0.35,100,100,1.0,35,0.35,0.26364248243097527,0.44745556703112027,35,0.35,0.26364248243097527,0.44745556703112027
image,B1_design,configmean_interactions_d4_r10,interaction_increment,0.3,0.5,100,100,1.0,57,0.57,0.47215389549212305,0.6626670147588988,57,0.57,0.47215389549212305,0.6626670147588988
image,B1_design,configmean_interactions_d4_r10,interaction_increment,0.8,0.2,100,100,1.0,27,0.27,0.1926958414957634,0.36432116767944994,27,0.27,0.1926958414957634,0.36432116767944994
image,B1_design,configmean_interactions_d4_r10,interaction_increment,0.8,0.35,100,100,1.0,46,0.46,0.36560808309024106,0.5573513967663177,46,0.46,0.36560808309024106,0.5573513967663177
image,B1_design,configmean_interactions_d4_r10,interaction_increment,0.8,0.5,100,100,1.0,86,0.86,0.7786281178903616,0.9147365634006086,86,0.86,0.7786281178903616,0.9147365634006086
image,B1_design,configmean_interactions_d4_r10,interaction_proxy_null,0.3,0.0,100,100,1.0,9,0.09,0.04807254000256516,0.1622621285271631,9,0.09,0.04807254000256516,0.1622621285271631
image,B1_design,configmean_interactions_d4_r10,interaction_proxy_null,0.8,0.0,100,100,1.0,6,0.06,0.027786123963188192,0.1247681544589592,6,0.06,0.027786123963188192,0.1247681544589592
image,B1_design,configmean_interactions_d4_r10,nonlinear_proxy_null,0.3,0.0,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,2,0.02,0.00550196755016235,0.07001179072854388
image,B1_design,configmean_interactions_d4_r10,nonlinear_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
