protocol_id,design_scope,panels,n_groups,baseline,scenario,icc,beta,repetition,wild_draws,status,orthogonal_wild_p,orthogonal_score_mean,partial_rank_slope,supported,positive_supported
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,0,999,estimated,0.702,-0.0036488750146723,-0.0547403510791349,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,1,999,estimated,0.108,0.0099209658635712,0.3076749311106465,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,2,999,estimated,0.206,0.009779202115039,0.2221520057599335,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,3,999,estimated,0.536,0.0042454595215405,0.0897808166375048,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,4,999,estimated,0.001,0.0200750912612122,0.3819469684709037,True,True
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,5,999,estimated,0.152,0.0108980236417,0.2069019427213396,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,6,999,estimated,0.992,-8.456432482686846e-05,-0.001672964630515,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,7,999,estimated,0.255,0.0066731250701581,0.1358314014255031,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,8,999,estimated,0.332,0.0076225952619299,0.1338441254389641,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,9,999,estimated,0.146,0.012066792793242,0.1843414386161725,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,10,999,estimated,0.464,0.0046766137684283,0.0960085106059446,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,11,999,estimated,0.129,0.0094679776971188,0.2108819192886713,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,12,999,estimated,0.007,0.0116869688279642,0.3209277561335468,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,13,999,estimated,0.418,-0.0066787910267342,-0.1250124468450956,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,14,999,estimated,0.696,-0.0026577998560015,-0.05213653106507,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,15,999,estimated,0.687,0.0026711677012403,0.0432110724283708,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,16,999,estimated,0.133,0.0090093633380022,0.2140713562872618,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,17,999,estimated,0.271,0.0060564997961574,0.1349021960760445,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,18,999,estimated,0.431,-0.0076900060492214,-0.1290952131044184,False,False
