design_scope,panels,n_groups,baseline,scenario,icc,beta,planned_repetitions,estimated_repetitions,estimability_rate,support_count,support_rate,support_wilson_95_low,support_wilson_95_high,positive_support_count,positive_support_rate,positive_support_wilson_95_low,positive_support_wilson_95_high
image,1,48,B1_design,additive_proxy_null,0.3,0.0,50,50,1.0,2,0.04,0.011038884327619805,0.1346009068750702,2,0.04,0.011038884327619805,0.1346009068750702
image,1,48,B1_design,additive_proxy_null,0.8,0.0,50,50,1.0,2,0.04,0.011038884327619805,0.1346009068750702,2,0.04,0.011038884327619805,0.1346009068750702
image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,50,50,1.0,6,0.12,0.05617600150932274,0.23804817383202992,6,0.12,0.05617600150932274,0.23804817383202992
image,1,48,B1_design,heteroskedastic_proxy_null,0.8,0.0,50,50,1.0,5,0.1,0.04347576493189041,0.21360231437479654,4,0.08,0.03154951408859298,0.18838246918342838
image,1,48,B1_design,independent_null,0.3,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,1,48,B1_design,independent_null,0.8,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,1,48,B1_design,interaction_increment,0.3,0.2,50,50,1.0,11,0.22,0.1275391597021442,0.3524154958125367,11,0.22,0.1275391597021442,0.3524154958125367
image,1,48,B1_design,interaction_increment,0.3,0.35,50,50,1.0,24,0.48,0.34797135286578046,0.6148825510995539,24,0.48,0.34797135286578046,0.6148825510995539
image,1,48,B1_design,interaction_increment,0.3,0.5,50,50,1.0,28,0.56,0.4230602802165686,0.6883780078874284,28,0.56,0.4230602802165686,0.6883780078874284
image,1,48,B1_design,interaction_increment,0.8,0.2,50,50,1.0,22,0.44,0.3116219921125717,0.5769397197834315,22,0.44,0.3116219921125717,0.5769397197834315
image,1,48,B1_design,interaction_increment,0.8,0.35,50,50,1.0,29,0.58,0.4423344176857823,0.7062499664528802,29,0.58,0.4423344176857823,0.7062499664528802
image,1,48,B1_design,interaction_increment,0.8,0.5,50,50,1.0,41,0.82,0.6920394632569922,0.9022980732976582,41,0.82,0.6920394632569922,0.9022980732976582
image,1,48,B1_design,interaction_proxy_null,0.3,0.0,50,50,1.0,7,0.14,0.06950833427016294,0.2618619371058554,7,0.14,0.06950833427016294,0.2618619371058554
image,1,48,B1_design,interaction_proxy_null,0.8,0.0,50,50,1.0,5,0.1,0.04347576493189041,0.21360231437479654,5,0.1,0.04347576493189041,0.21360231437479654
image,1,48,B1_design,nonlinear_proxy_null,0.3,0.0,50,50,1.0,2,0.04,0.011038884327619805,0.1346009068750702,2,0.04,0.011038884327619805,0.1346009068750702
image,1,48,B1_design,nonlinear_proxy_null,0.8,0.0,50,50,1.0,1,0.02,0.003539259271646236,0.10495443589637815,1,0.02,0.003539259271646236,0.10495443589637815
image,1,48,B2_training_state,additive_proxy_null,0.3,0.0,50,50,1.0,2,0.04,0.011038884327619805,0.1346009068750702,2,0.04,0.011038884327619805,0.1346009068750702
image,1,48,B2_training_state,additive_proxy_null,0.8,0.0,50,50,1.0,2,0.04,0.011038884327619805,0.1346009068750702,2,0.04,0.011038884327619805,0.1346009068750702
image,1,48,B2_training_state,heteroskedastic_proxy_null,0.3,0.0,50,50,1.0,7,0.14,0.06950833427016294,0.2618619371058554,7,0.14,0.06950833427016294,0.2618619371058554
image,1,48,B2_training_state,heteroskedastic_proxy_null,0.8,0.0,50,50,1.0,5,0.1,0.04347576493189041,0.21360231437479654,5,0.1,0.04347576493189041,0.21360231437479654
image,1,48,B2_training_state,independent_null,0.3,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,1,48,B2_training_state,independent_null,0.8,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,1,48,B2_training_state,interaction_increment,0.3,0.2,50,50,1.0,8,0.16,0.08337420678033404,0.2851421606303499,8,0.16,0.08337420678033404,0.2851421606303499
image,1,48,B2_training_state,interaction_increment,0.3,0.35,50,50,1.0,22,0.44,0.3116219921125717,0.5769397197834315,22,0.44,0.3116219921125717,0.5769397197834315
image,1,48,B2_training_state,interaction_increment,0.3,0.5,50,50,1.0,28,0.56,0.4230602802165686,0.6883780078874284,28,0.56,0.4230602802165686,0.6883780078874284
image,1,48,B2_training_state,interaction_increment,0.8,0.2,50,50,1.0,17,0.34,0.2243694922250009,0.478461739497674,17,0.34,0.2243694922250009,0.478461739497674
image,1,48,B2_training_state,interaction_increment,0.8,0.35,50,50,1.0,27,0.54,0.40398871399157477,0.6703034780777566,27,0.54,0.40398871399157477,0.6703034780777566
image,1,48,B2_training_state,interaction_increment,0.8,0.5,50,50,1.0,38,0.76,0.6258731624205708,0.8570260860300828,38,0.76,0.6258731624205708,0.8570260860300828
image,1,48,B2_training_state,interaction_proxy_null,0.3,0.0,50,50,1.0,8,0.16,0.08337420678033404,0.2851421606303499,8,0.16,0.08337420678033404,0.2851421606303499
image,1,48,B2_training_state,interaction_proxy_null,0.8,0.0,50,50,1.0,4,0.08,0.03154951408859298,0.18838246918342838,4,0.08,0.03154951408859298,0.18838246918342838
image,1,48,B2_training_state,nonlinear_proxy_null,0.3,0.0,50,50,1.0,2,0.04,0.011038884327619805,0.1346009068750702,2,0.04,0.011038884327619805,0.1346009068750702
image,1,48,B2_training_state,nonlinear_proxy_null,0.8,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,1,48,B3_validation,additive_proxy_null,0.3,0.0,50,50,1.0,1,0.02,0.003539259271646236,0.10495443589637815,1,0.02,0.003539259271646236,0.10495443589637815
image,1,48,B3_validation,additive_proxy_null,0.8,0.0,50,50,1.0,1,0.02,0.003539259271646236,0.10495443589637815,1,0.02,0.003539259271646236,0.10495443589637815
image,1,48,B3_validation,heteroskedastic_proxy_null,0.3,0.0,50,50,1.0,6,0.12,0.05617600150932274,0.23804817383202992,6,0.12,0.05617600150932274,0.23804817383202992
image,1,48,B3_validation,heteroskedastic_proxy_null,0.8,0.0,50,50,1.0,2,0.04,0.011038884327619805,0.1346009068750702,2,0.04,0.011038884327619805,0.1346009068750702
image,1,48,B3_validation,independent_null,0.3,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,1,48,B3_validation,independent_null,0.8,0.0,50,50,1.0,2,0.04,0.011038884327619805,0.1346009068750702,1,0.02,0.003539259271646236,0.10495443589637815
image,1,48,B3_validation,interaction_increment,0.3,0.2,50,50,1.0,9,0.18,0.09770192670234178,0.30796053674300783,9,0.18,0.09770192670234178,0.30796053674300783
image,1,48,B3_validation,interaction_increment,0.3,0.35,50,50,1.0,24,0.48,0.34797135286578046,0.6148825510995539,24,0.48,0.34797135286578046,0.6148825510995539
image,1,48,B3_validation,interaction_increment,0.3,0.5,50,50,1.0,32,0.64,0.501410168761127,0.7586125034815325,32,0.64,0.501410168761127,0.7586125034815325
image,1,48,B3_validation,interaction_increment,0.8,0.2,50,50,1.0,21,0.42,0.2937500335471198,0.5576655823142176,21,0.42,0.2937500335471198,0.5576655823142176
image,1,48,B3_validation,interaction_increment,0.8,0.35,50,50,1.0,34,0.68,0.5418970269185592,0.7924178373934316,34,0.68,0.5418970269185592,0.7924178373934316
image,1,48,B3_validation,interaction_increment,0.8,0.5,50,50,1.0,42,0.84,0.7148578393696501,0.916625793219666,42,0.84,0.7148578393696501,0.916625793219666
