design_scope,baseline,scenario,icc,beta,planned_repetitions,estimated_repetitions,estimability_rate,support_count,support_rate,support_wilson_95_low,support_wilson_95_high,positive_support_count,positive_support_rate,positive_support_wilson_95_low,positive_support_wilson_95_high
image,B1_design,additive_proxy_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,additive_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,2,0.02,0.00550196755016235,0.07001179072854388
image,B1_design,independent_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,independent_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,interaction_increment,0.3,0.2,100,100,1.0,20,0.2,0.1333669333310325,0.2888291655931589,20,0.2,0.1333669333310325,0.2888291655931589
image,B1_design,interaction_increment,0.3,0.35,100,100,1.0,64,0.64,0.5423540245160874,0.7272877959859567,64,0.64,0.5423540245160874,0.7272877959859567
image,B1_design,interaction_increment,0.3,0.5,100,100,1.0,95,0.95,0.8882495307680808,0.9784563208456319,95,0.95,0.8882495307680808,0.9784563208456319
image,B1_design,interaction_increment,0.8,0.2,100,100,1.0,40,0.4,0.3094012864324589,0.4979974132089382,40,0.4,0.3094012864324589,0.4979974132089382
image,B1_design,interaction_increment,0.8,0.35,100,100,1.0,94,0.94,0.8752318455410406,0.9722138760368118,94,0.94,0.8752318455410406,0.9722138760368118
image,B1_design,interaction_increment,0.8,0.5,100,100,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0
image,B1_design,interaction_proxy_null,0.3,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,2,0.02,0.00550196755016235,0.07001179072854388
image,B1_design,interaction_proxy_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
image,B1_design,nonlinear_proxy_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,nonlinear_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,additive_proxy_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,additive_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
image,B2_training_state,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,independent_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,independent_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,interaction_increment,0.3,0.2,100,100,1.0,23,0.23,0.15843265880303448,0.3215438302287378,23,0.23,0.15843265880303448,0.3215438302287378
image,B2_training_state,interaction_increment,0.3,0.35,100,100,1.0,69,0.69,0.5937394428051057,0.7722030278762395,69,0.69,0.5937394428051057,0.7722030278762395
image,B2_training_state,interaction_increment,0.3,0.5,100,100,1.0,97,0.97,0.9154806357094724,0.9897454759759611,97,0.97,0.9154806357094724,0.9897454759759611
image,B2_training_state,interaction_increment,0.8,0.2,100,100,1.0,42,0.42,0.3279838267435473,0.5179351329695703,42,0.42,0.3279838267435473,0.5179351329695703
image,B2_training_state,interaction_increment,0.8,0.35,100,100,1.0,96,0.96,0.9016292856411208,0.9843366960084523,96,0.96,0.9016292856411208,0.9843366960084523
image,B2_training_state,interaction_increment,0.8,0.5,100,100,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0
image,B2_training_state,interaction_proxy_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,interaction_proxy_null,0.8,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,2,0.02,0.00550196755016235,0.07001179072854388
image,B2_training_state,nonlinear_proxy_null,0.3,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,nonlinear_proxy_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B3_validation,additive_proxy_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B3_validation,additive_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B3_validation,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,2,0.02,0.00550196755016235,0.07001179072854388
image,B3_validation,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B3_validation,independent_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B3_validation,independent_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B3_validation,interaction_increment,0.3,0.2,100,100,1.0,35,0.35,0.26364248243097527,0.44745556703112027,35,0.35,0.26364248243097527,0.44745556703112027
image,B3_validation,interaction_increment,0.3,0.35,100,100,1.0,81,0.81,0.7222115462093562,0.8748524849023126,81,0.81,0.7222115462093562,0.8748524849023126
image,B3_validation,interaction_increment,0.3,0.5,100,100,1.0,99,0.99,0.9455138038212946,0.9982325679358593,99,0.99,0.9455138038212946,0.9982325679358593
image,B3_validation,interaction_increment,0.8,0.2,100,100,1.0,64,0.64,0.5423540245160874,0.7272877959859567,64,0.64,0.5423540245160874,0.7272877959859567
image,B3_validation,interaction_increment,0.8,0.35,100,100,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0
image,B3_validation,interaction_increment,0.8,0.5,100,100,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0
image,B3_validation,interaction_proxy_null,0.3,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,2,0.02,0.00550196755016235,0.07001179072854388
image,B3_validation,interaction_proxy_null,0.8,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,2,0.02,0.00550196755016235,0.07001179072854388
image,B3_validation,nonlinear_proxy_null,0.3,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B3_validation,nonlinear_proxy_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
text,B1_design,additive_proxy_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B1_design,additive_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B1_design,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
text,B1_design,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B1_design,independent_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B1_design,independent_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B1_design,interaction_increment,0.3,0.2,100,100,1.0,25,0.25,0.17545211362287672,0.34304463548061603,25,0.25,0.17545211362287672,0.34304463548061603
text,B1_design,interaction_increment,0.3,0.35,100,100,1.0,58,0.58,0.4820648670304296,0.6720161732564526,58,0.58,0.4820648670304296,0.6720161732564526
text,B1_design,interaction_increment,0.3,0.5,100,100,1.0,89,0.89,0.8136870349691969,0.9374580364293543,89,0.89,0.8136870349691969,0.9374580364293543
text,B1_design,interaction_increment,0.8,0.2,100,100,1.0,40,0.4,0.3094012864324589,0.4979974132089382,40,0.4,0.3094012864324589,0.4979974132089382
text,B1_design,interaction_increment,0.8,0.35,100,100,1.0,95,0.95,0.8882495307680808,0.9784563208456319,95,0.95,0.8882495307680808,0.9784563208456319
text,B1_design,interaction_increment,0.8,0.5,100,100,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0
text,B1_design,interaction_proxy_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B1_design,interaction_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B1_design,nonlinear_proxy_null,0.3,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
text,B1_design,nonlinear_proxy_null,0.8,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,2,0.02,0.00550196755016235,0.07001179072854388
text,B2_training_state,additive_proxy_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B2_training_state,additive_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B2_training_state,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B2_training_state,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
