baseline,scenario,reliability,beta,planned_repetitions,estimated_repetitions,estimability_rate,support_count,support_rate,support_wilson_95_low,support_wilson_95_high,positive_support_count,positive_support_rate,positive_support_wilson_95_low,positive_support_wilson_95_high
B1_design,additive_proxy_null,0.3,0.0,100,100,1.0,7,0.07,0.03431926106727268,0.137495147390735,7,0.07,0.03431926106727268,0.137495147390735
B1_design,additive_proxy_null,0.8,0.0,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,3,0.03,0.010254524024038925,0.0845193642905276
B1_design,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,12,0.12,0.06999406437019488,0.19812099426711421,12,0.12,0.06999406437019488,0.19812099426711421
B1_design,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,18,0.18,0.1170022549894635,0.2666735838630073,18,0.18,0.1170022549894635,0.2666735838630073
B1_design,independent_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
B1_design,independent_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
B1_design,interaction_increment,0.3,0.2,100,100,1.0,44,0.44,0.34672026630160796,0.5377189534832302,44,0.44,0.34672026630160796,0.5377189534832302
B1_design,interaction_increment,0.3,0.35,100,100,1.0,84,0.84,0.7557973061072976,0.8990471151119521,84,0.84,0.7557973061072976,0.8990471151119521
B1_design,interaction_increment,0.3,0.5,100,100,1.0,93,0.93,0.8625048526092651,0.9656807389327273,93,0.93,0.8625048526092651,0.9656807389327273
B1_design,interaction_increment,0.8,0.2,100,100,1.0,81,0.81,0.7222115462093562,0.8748524849023126,81,0.81,0.7222115462093562,0.8748524849023126
B1_design,interaction_increment,0.8,0.35,100,100,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0
B1_design,interaction_increment,0.8,0.5,100,100,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0
