protocol_id,baseline,candidate_id,scenario,reliability,beta,repetition,wild_draws,status,n_groups,orthogonal_wild_p,orthogonal_score_mean,positive_supported,supported
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.3,0.0,0,999,estimated,240,0.226,-0.005155344537927888,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.3,0.0,1,999,estimated,240,0.122,-0.007082425850323385,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.3,0.0,2,999,estimated,240,0.361,0.004627091650275745,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.3,0.0,3,999,estimated,240,0.031,0.010093499543277795,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.3,0.0,4,999,estimated,240,0.17,-0.006243808362528691,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.3,0.0,5,999,estimated,240,0.544,-0.002653077813682856,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.3,0.0,6,999,estimated,240,0.006,0.01266550914980589,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.3,0.0,7,999,estimated,240,0.661,-0.0021641256877753404,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.3,0.0,8,999,estimated,240,0.794,0.0012164266568674203,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.3,0.0,9,999,estimated,240,0.375,-0.004104336016331423,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.3,0.0,10,999,estimated,240,0.329,0.0048297322097143975,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.3,0.0,11,999,estimated,240,0.016,0.010149083759524509,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.3,0.0,12,999,estimated,240,0.789,0.0011581226666667582,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.3,0.0,13,999,estimated,240,0.142,-0.007200213863265551,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.3,0.0,14,999,estimated,240,0.103,-0.008021225866155507,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.3,0.0,15,999,estimated,240,0.861,-0.000793661842278788,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.3,0.0,16,999,estimated,240,0.761,0.0015715659684176126,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.3,0.0,17,999,estimated,240,0.556,0.0025940873266010692,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.3,0.0,18,999,estimated,240,0.296,-0.004889984159442239,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.3,0.0,19,999,estimated,240,0.193,0.0054829098594266455,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.8,0.0,0,999,estimated,240,0.769,0.0014421331950789245,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.8,0.0,1,999,estimated,240,0.497,0.0031338739035797506,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.8,0.0,2,999,estimated,240,0.093,-0.009644714145420664,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.8,0.0,3,999,estimated,240,0.48,-0.003253277359089471,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.8,0.0,4,999,estimated,240,0.236,-0.004833959813298348,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.8,0.0,5,999,estimated,240,0.018,-0.00956276156202958,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.8,0.0,6,999,estimated,240,0.703,-0.0017796194248631421,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.8,0.0,7,999,estimated,240,0.166,-0.005883190721921726,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.8,0.0,8,999,estimated,240,0.496,0.0029368448297462366,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.8,0.0,9,999,estimated,240,0.061,0.008921264831383224,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.8,0.0,10,999,estimated,240,0.22,-0.005952086910869883,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.8,0.0,11,999,estimated,240,0.008,-0.013891094313366154,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.8,0.0,12,999,estimated,240,0.217,0.005156099673614758,False,False
