baseline,scenario,reliability,beta,planned_repetitions,estimated_repetitions,estimability_rate,support_count,support_rate,support_wilson_95_low,support_wilson_95_high,positive_support_count,positive_support_rate,positive_support_wilson_95_low,positive_support_wilson_95_high
B1_design,additive_proxy_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
B1_design,additive_proxy_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
B1_design,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
B1_design,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
B1_design,independent_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
B1_design,independent_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
B1_design,interaction_increment,0.3,0.2,100,100,1.0,6,0.06,0.027786123963188192,0.1247681544589592,6,0.06,0.027786123963188192,0.1247681544589592
B1_design,interaction_increment,0.3,0.35,100,100,1.0,29,0.29,0.2101483574912227,0.3853889117557111,29,0.29,0.2101483574912227,0.3853889117557111
B1_design,interaction_increment,0.3,0.5,100,100,1.0,63,0.63,0.5322052958094291,0.7181763946567546,63,0.63,0.5322052958094291,0.7181763946567546
B1_design,interaction_increment,0.8,0.2,100,100,1.0,29,0.29,0.2101483574912227,0.3853889117557111,29,0.29,0.2101483574912227,0.3853889117557111
B1_design,interaction_increment,0.8,0.35,100,100,1.0,82,0.82,0.7333264161369926,0.8829977450105364,82,0.82,0.7333264161369926,0.8829977450105364
B1_design,interaction_increment,0.8,0.5,100,100,1.0,98,0.98,0.929988209271456,0.9944980324498376,98,0.98,0.929988209271456,0.9944980324498376
B1_design,interaction_proxy_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
B1_design,interaction_proxy_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,0,0.0,3.469446951953614e-18,0.03699349820698568
B1_design,nonlinear_proxy_null,0.3,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,0,0.0,3.469446951953614e-18,0.03699349820698568
B1_design,nonlinear_proxy_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
B2_training_loss,additive_proxy_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
B2_training_loss,additive_proxy_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,0,0.0,3.469446951953614e-18,0.03699349820698568
B2_training_loss,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
B2_training_loss,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
B2_training_loss,independent_null,0.3,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,0,0.0,3.469446951953614e-18,0.03699349820698568
B2_training_loss,independent_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
B2_training_loss,interaction_increment,0.3,0.2,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,2,0.02,0.00550196755016235,0.07001179072854388
B2_training_loss,interaction_increment,0.3,0.35,100,100,1.0,24,0.24,0.16691325556948772,0.33232336349814473,24,0.24,0.16691325556948772,0.33232336349814473
B2_training_loss,interaction_increment,0.3,0.5,100,100,1.0,66,0.66,0.5627772885472462,0.7453847920265184,66,0.66,0.5627772885472462,0.7453847920265184
B2_training_loss,interaction_increment,0.8,0.2,100,100,1.0,27,0.27,0.1926958414957634,0.36432116767944994,27,0.27,0.1926958414957634,0.36432116767944994
B2_training_loss,interaction_increment,0.8,0.35,100,100,1.0,85,0.85,0.7671644040916763,0.9069401471634337,85,0.85,0.7671644040916763,0.9069401471634337
B2_training_loss,interaction_increment,0.8,0.5,100,100,1.0,98,0.98,0.929988209271456,0.9944980324498376,98,0.98,0.929988209271456,0.9944980324498376
B2_training_loss,interaction_proxy_null,0.3,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
B2_training_loss,interaction_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
B2_training_loss,nonlinear_proxy_null,0.3,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
B2_training_loss,nonlinear_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
B3_training_state,additive_proxy_null,0.3,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,0,0.0,3.469446951953614e-18,0.03699349820698568
B3_training_state,additive_proxy_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
B3_training_state,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
B3_training_state,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
B3_training_state,independent_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
B3_training_state,independent_null,0.8,0.0,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,3,0.03,0.010254524024038925,0.0845193642905276
B3_training_state,interaction_increment,0.3,0.2,100,100,1.0,11,0.11,0.06254196357064568,0.18631296503080313,11,0.11,0.06254196357064568,0.18631296503080313
