scope,baseline,candidate_id,scenario,icc,beta,repetition,wild_draws,status,n_groups,stable_positive,positive_split_count,maximum_orthogonal_wild_p,minimum_orthogonal_score_mean
image48,B1_design,d2_r01_repeat3_a01,additive_proxy_null,0.3,0.0,0,999,estimated,48,False,0,0.853,-0.009042131293616253
image48,B1_design,d2_r01_repeat3_a01,additive_proxy_null,0.3,0.0,1,999,estimated,48,False,0,0.565,-0.020372197894398925
image48,B1_design,d2_r01_repeat3_a01,additive_proxy_null,0.3,0.0,2,999,estimated,48,False,0,0.491,-0.009262541042293598
image48,B1_design,d2_r01_repeat3_a01,additive_proxy_null,0.3,0.0,3,999,estimated,48,False,0,0.202,0.010976446866899315
image48,B1_design,d2_r01_repeat3_a01,additive_proxy_null,0.3,0.0,4,999,estimated,48,False,0,0.967,-0.021867958117500485
image48,B1_design,d2_r01_repeat3_a01,additive_proxy_null,0.3,0.0,5,999,estimated,48,False,0,0.315,-0.04451782260657425
image48,B1_design,d2_r01_repeat3_a01,additive_proxy_null,0.3,0.0,6,999,estimated,48,True,3,0.001,0.04427502629997152
image48,B1_design,d2_r01_repeat3_a01,additive_proxy_null,0.3,0.0,7,999,estimated,48,False,0,0.682,-0.024643015404167943
image48,B1_design,d2_r01_repeat3_a01,additive_proxy_null,0.3,0.0,8,999,estimated,48,False,0,0.509,-0.01268717683851045
image48,B1_design,d2_r01_repeat3_a01,additive_proxy_null,0.3,0.0,9,999,estimated,48,False,0,0.749,-0.009785059606900834
image48,B1_design,d2_r01_repeat3_a01,additive_proxy_null,0.3,0.0,10,999,estimated,48,False,0,0.835,-0.02840019403107664
image48,B1_design,d2_r01_repeat3_a01,additive_proxy_null,0.3,0.0,11,999,estimated,48,False,0,0.999,-0.00802072382352827
image48,B1_design,d2_r01_repeat3_a01,additive_proxy_null,0.3,0.0,12,999,estimated,48,False,0,0.48,-0.01385340328305054
image48,B1_design,d2_r01_repeat3_a01,additive_proxy_null,0.3,0.0,13,999,estimated,48,False,0,0.748,-0.019544697936610362
image48,B1_design,d2_r01_repeat3_a01,additive_proxy_null,0.3,0.0,14,999,estimated,48,False,0,0.335,-0.015540469629021336
