scope,baseline,candidate_id,scenario,icc,beta,planned_repetitions,estimated_repetitions,estimability_rate,positive_support_count,positive_support_rate,positive_support_wilson_95_low,positive_support_wilson_95_high
image48,B1_design,d2_r01_repeat3_a01,additive_proxy_null,0.3,0.0,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205
image48,B1_design,d2_r01_repeat3_a01,additive_proxy_null,0.8,0.0,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.3,0.0,20,20,1.0,0,0.0,0.0,0.16112515805281938
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.8,0.0,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.35,20,20,1.0,2,0.1,0.027866481213768224,0.3010336452284873
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.5,20,20,1.0,6,0.3,0.1454772448676043,0.5189728183535235
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.35,20,20,1.0,8,0.4,0.21880653237281705,0.6134184992377469
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.5,20,20,1.0,5,0.25,0.11186170140766569,0.468700877618744
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.3,0.0,20,20,1.0,0,0.0,0.0,0.16112515805281938
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.8,0.0,20,20,1.0,0,0.0,0.0,0.16112515805281938
image48,B1_design,d2_r01_repeat3_a01,interaction_proxy_null,0.3,0.0,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205
image48,B1_design,d2_r01_repeat3_a01,interaction_proxy_null,0.8,0.0,20,20,1.0,0,0.0,0.0,0.16112515805281938
image48,B1_design,d2_r01_repeat3_a01,nonlinear_proxy_null,0.3,0.0,20,20,1.0,0,0.0,0.0,0.16112515805281938
image48,B1_design,d2_r01_repeat3_a01,nonlinear_proxy_null,0.8,0.0,20,20,1.0,0,0.0,0.0,0.16112515805281938
image48,B1_design,d2_r01_repeat3_a05,additive_proxy_null,0.3,0.0,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205
image48,B1_design,d2_r01_repeat3_a05,additive_proxy_null,0.8,0.0,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205
image48,B1_design,d2_r01_repeat3_a05,heteroskedastic_proxy_null,0.3,0.0,20,20,1.0,0,0.0,0.0,0.16112515805281938
image48,B1_design,d2_r01_repeat3_a05,heteroskedastic_proxy_null,0.8,0.0,20,20,1.0,2,0.1,0.027866481213768224,0.3010336452284873
image48,B1_design,d2_r01_repeat3_a05,increment,0.3,0.35,20,20,1.0,4,0.2,0.08065766257979806,0.41601743225189364
image48,B1_design,d2_r01_repeat3_a05,increment,0.3,0.5,20,20,1.0,9,0.45,0.2581978582556243,0.6579146575496577
image48,B1_design,d2_r01_repeat3_a05,increment,0.8,0.35,20,20,1.0,9,0.45,0.2581978582556243,0.6579146575496577
image48,B1_design,d2_r01_repeat3_a05,increment,0.8,0.5,20,20,1.0,14,0.7,0.4810271816464765,0.8545227551323956
image48,B1_design,d2_r01_repeat3_a05,independent_null,0.3,0.0,20,20,1.0,0,0.0,0.0,0.16112515805281938
image48,B1_design,d2_r01_repeat3_a05,independent_null,0.8,0.0,20,20,1.0,0,0.0,0.0,0.16112515805281938
image48,B1_design,d2_r01_repeat3_a05,interaction_proxy_null,0.3,0.0,20,20,1.0,2,0.1,0.027866481213768224,0.3010336452284873
image48,B1_design,d2_r01_repeat3_a05,interaction_proxy_null,0.8,0.0,20,20,1.0,2,0.1,0.027866481213768224,0.3010336452284873
image48,B1_design,d2_r01_repeat3_a05,nonlinear_proxy_null,0.3,0.0,20,20,1.0,0,0.0,0.0,0.16112515805281938
image48,B1_design,d2_r01_repeat3_a05,nonlinear_proxy_null,0.8,0.0,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205
image48,B1_design,d2_r01_repeat5_a05,additive_proxy_null,0.3,0.0,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205
image48,B1_design,d2_r01_repeat5_a05,additive_proxy_null,0.8,0.0,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205
image48,B1_design,d2_r01_repeat5_a05,heteroskedastic_proxy_null,0.3,0.0,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205
image48,B1_design,d2_r01_repeat5_a05,heteroskedastic_proxy_null,0.8,0.0,20,20,1.0,2,0.1,0.027866481213768224,0.3010336452284873
image48,B1_design,d2_r01_repeat5_a05,increment,0.3,0.35,20,20,1.0,5,0.25,0.11186170140766569,0.468700877618744
image48,B1_design,d2_r01_repeat5_a05,increment,0.3,0.5,20,20,1.0,8,0.4,0.21880653237281705,0.6134184992377469
image48,B1_design,d2_r01_repeat5_a05,increment,0.8,0.35,20,20,1.0,8,0.4,0.21880653237281705,0.6134184992377469
image48,B1_design,d2_r01_repeat5_a05,increment,0.8,0.5,20,20,1.0,9,0.45,0.2581978582556243,0.6579146575496577
image48,B1_design,d2_r01_repeat5_a05,independent_null,0.3,0.0,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205
image48,B1_design,d2_r01_repeat5_a05,independent_null,0.8,0.0,20,20,1.0,0,0.0,0.0,0.16112515805281938
image48,B1_design,d2_r01_repeat5_a05,interaction_proxy_null,0.3,0.0,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205
image48,B1_design,d2_r01_repeat5_a05,interaction_proxy_null,0.8,0.0,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205
image48,B1_design,d2_r01_repeat5_a05,nonlinear_proxy_null,0.3,0.0,20,20,1.0,0,0.0,0.0,0.16112515805281938
image48,B1_design,d2_r01_repeat5_a05,nonlinear_proxy_null,0.8,0.0,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205
image48,B1_design,d4_r01_repeat3_a01,additive_proxy_null,0.3,0.0,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205
image48,B1_design,d4_r01_repeat3_a01,additive_proxy_null,0.8,0.0,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205
image48,B1_design,d4_r01_repeat3_a01,heteroskedastic_proxy_null,0.3,0.0,20,20,1.0,0,0.0,0.0,0.16112515805281938
image48,B1_design,d4_r01_repeat3_a01,heteroskedastic_proxy_null,0.8,0.0,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205
