geometry,n_configurations,baseline,scenario,icc,beta,method,planned_repetitions,estimated_repetitions,estimability_rate,positive_support_count_a05,positive_support_rate_a05,positive_support_wilson_low_a05,positive_support_wilson_high_a05,positive_support_count_a001,positive_support_rate_a001,positive_support_wilson_low_a001,positive_support_wilson_high_a001
image_like,24,B1_design,additive_proxy_null,0.3,0.0,latent_ceiling,500,500,1.0,8,0.016,0.008129253033388314,0.03125110853339426,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B1_design,additive_proxy_null,0.3,0.0,observable_oracle,500,500,1.0,12,0.024,0.013781314655496986,0.041477057463900756,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B1_design,additive_proxy_null,0.3,0.0,learned_raw_d2,500,500,1.0,76,0.152,0.12319239267380164,0.18611414828743875,5,0.01,0.004278753896590496,0.023193099755730702
image_like,24,B1_design,additive_proxy_null,0.3,0.0,learned_rank_d2,500,500,1.0,85,0.17,0.13962036610396117,0.20541169860066333,5,0.01,0.004278753896590496,0.023193099755730702
image_like,24,B1_design,additive_proxy_null,0.8,0.0,latent_ceiling,500,500,1.0,5,0.01,0.004278753896590496,0.023193099755730702,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B1_design,additive_proxy_null,0.8,0.0,observable_oracle,500,500,1.0,8,0.016,0.008129253033388314,0.03125110853339426,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B1_design,additive_proxy_null,0.8,0.0,learned_raw_d2,500,500,1.0,76,0.152,0.12319239267380164,0.18611414828743875,5,0.01,0.004278753896590496,0.023193099755730702
image_like,24,B1_design,additive_proxy_null,0.8,0.0,learned_rank_d2,500,500,1.0,83,0.166,0.13595774323101012,0.2011353161973068,3,0.006,0.0020425962719602363,0.01749025210405338
image_like,24,B1_design,heteroskedastic_proxy_null,0.3,0.0,latent_ceiling,500,500,1.0,10,0.02,0.010899183596210813,0.036420183246879345,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B1_design,heteroskedastic_proxy_null,0.3,0.0,observable_oracle,500,500,1.0,9,0.018,0.009498193296197078,0.033851670908739286,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B1_design,heteroskedastic_proxy_null,0.3,0.0,learned_raw_d2,500,500,1.0,64,0.128,0.10152682399523652,0.16014568530815834,5,0.01,0.004278753896590496,0.023193099755730702
image_like,24,B1_design,heteroskedastic_proxy_null,0.3,0.0,learned_rank_d2,500,500,1.0,64,0.128,0.10152682399523652,0.16014568530815834,6,0.012,0.005510995174027703,0.025930361116447292
image_like,24,B1_design,heteroskedastic_proxy_null,0.8,0.0,latent_ceiling,500,500,1.0,11,0.022,0.012328008269927582,0.03896086121131637,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B1_design,heteroskedastic_proxy_null,0.8,0.0,observable_oracle,500,500,1.0,12,0.024,0.013781314655496986,0.041477057463900756,1,0.002,0.00035313639455927456,0.011240706705146758
image_like,24,B1_design,heteroskedastic_proxy_null,0.8,0.0,learned_raw_d2,500,500,1.0,84,0.168,0.13778823297684417,0.20327432908962656,6,0.012,0.005510995174027703,0.025930361116447292
image_like,24,B1_design,heteroskedastic_proxy_null,0.8,0.0,learned_rank_d2,500,500,1.0,87,0.174,0.14328947208106416,0.20968159789986787,6,0.012,0.005510995174027703,0.025930361116447292
image_like,24,B1_design,independent_null,0.3,0.0,latent_ceiling,500,500,1.0,21,0.042,0.027632310108451703,0.06335158575433016,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B1_design,independent_null,0.3,0.0,observable_oracle,500,500,1.0,14,0.028,0.01675097472075645,0.04644640267494888,1,0.002,0.00035313639455927456,0.011240706705146758
image_like,24,B1_design,independent_null,0.3,0.0,learned_raw_d2,500,500,1.0,80,0.16,0.13047637235016407,0.19470817916369149,5,0.01,0.004278753896590496,0.023193099755730702
image_like,24,B1_design,independent_null,0.3,0.0,learned_rank_d2,500,500,1.0,84,0.168,0.13778823297684417,0.20327432908962656,4,0.008,0.00311531518006224,0.020387035834105168
image_like,24,B1_design,independent_null,0.8,0.0,latent_ceiling,500,500,1.0,12,0.024,0.013781314655496986,0.041477057463900756,1,0.002,0.00035313639455927456,0.011240706705146758
image_like,24,B1_design,independent_null,0.8,0.0,observable_oracle,500,500,1.0,7,0.014,0.00679778979084349,0.02861306913778529,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B1_design,independent_null,0.8,0.0,learned_raw_d2,500,500,1.0,86,0.172,0.1414541198436514,0.20754744749912687,5,0.01,0.004278753896590496,0.023193099755730702
image_like,24,B1_design,independent_null,0.8,0.0,learned_rank_d2,500,500,1.0,78,0.156,0.126830791403845,0.19041475483370296,8,0.016,0.008129253033388314,0.03125110853339426
image_like,24,B1_design,interaction_proxy_null,0.3,0.0,latent_ceiling,500,500,1.0,10,0.02,0.010899183596210813,0.036420183246879345,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B1_design,interaction_proxy_null,0.3,0.0,observable_oracle,500,500,1.0,10,0.02,0.010899183596210813,0.036420183246879345,0,0.0,4.336808689942018e-19,0.007624340461552241
